feature,fill_value
PTS_LAG1,10.5
PTS_LAG2,11.0
PTS_LAG3,
AST_LAG1,2.0
AST_LAG2,1.9
AST_LAG3,
REB_LAG1,4.1
REB_LAG2,4.2
REB_LAG3,
STL_LAG1,0.7
STL_LAG2,0.7
STL_LAG3,
BLK_LAG1,0.4
BLK_LAG2,0.4
BLK_LAG3,
TOV_LAG1,1.1
TOV_LAG2,1.2
TOV_LAG3,
MIN_LAG1,25.8
MIN_LAG2,26.8
MIN_LAG3,
FG3M_LAG1,1.2
FG3M_LAG2,1.2
FG3M_LAG3,
FGA_LAG1,8.3
FGA_LAG2,8.7
FGA_LAG3,
FTA_LAG1,1.9
FTA_LAG2,1.9
FTA_LAG3,
FG_PCT_LAG1,0.462
FG_PCT_LAG2,0.464
FG_PCT_LAG3,
FT_PCT_LAG1,0.783
FT_PCT_LAG2,0.787
FT_PCT_LAG3,
FGM_LAG1,3.9
FGM_LAG2,4.0
FGM_LAG3,
FTM_LAG1,1.4
FTM_LAG2,1.5
FTM_LAG3,
FG3A_LAG1,3.4
FG3A_LAG2,3.6
FG3A_LAG3,
GP_LAG1,61.0
GP_LAG2,58.0
GP_LAG3,
ADV_USG_PCT_LAG1,0.183
ADV_USG_PCT_LAG2,0.181
ADV_USG_PCT_LAG3,
ADV_TS_PCT_LAG1,0.574
ADV_TS_PCT_LAG2,0.575
ADV_TS_PCT_LAG3,
ADV_AST_PCT_LAG1,0.12
ADV_AST_PCT_LAG2,0.12
ADV_AST_PCT_LAG3,
ADV_REB_PCT_LAG1,0.082
ADV_REB_PCT_LAG2,0.081
ADV_REB_PCT_LAG3,
ADV_PIE_LAG1,0.097
ADV_PIE_LAG2,0.097
ADV_PIE_LAG3,
PTS_AVG2,11.15
PTS_AVG3,
PTS_WAVG,
AST_AVG2,2.15
AST_AVG3,
AST_WAVG,
REB_AVG2,4.35
REB_AVG3,
REB_WAVG,
STL_AVG2,0.75
STL_AVG3,
STL_WAVG,
BLK_AVG2,0.4
BLK_AVG3,
BLK_WAVG,
MIN_AVG2,26.05
MIN_AVG3,
MIN_WAVG,
TOV_AVG2,1.15
TOV_AVG3,
TOV_WAVG,
FG3M_AVG2,1.25
FG3M_AVG3,
FG3M_WAVG,
FGA_AVG2,8.9
FGA_AVG3,
FGA_WAVG,
FTA_AVG2,1.95
FTA_AVG3,
FTA_WAVG,
PTS_YOY_CHANGE,0.4000000000000003
PTS_TREND,
AST_YOY_CHANGE,0.0999999999999996
AST_TREND,
REB_YOY_CHANGE,0.1999999999999997
REB_TREND,
MIN_YOY_CHANGE,0.6000000000000014
MIN_TREND,
FG_PCT_YOY_CHANGE,0.001
FG_PCT_TREND,
ADV_TS_PCT_YOY_CHANGE,0.001
ADV_TS_PCT_TREND,
PTS_STD3,1.4142135623730951
PTS_CV3,0.1285648693066449
MIN_STD3,1.9091883092036777
MIN_CV3,0.0796080482130549
GP_STD3,8.48528137423857
GP_CV3,0.1376668069566729
AST_TO_RATIO,1.7499999999999998
GP_LAG1_RATE,0.7439024390243902
MISSED_GAMES_LAG1,21.0
GP_LAG2_RATE,0.7073170731707317
MISSED_GAMES_LAG2,24.0
GP_LAG3_RATE,
MISSED_GAMES_LAG3,
GP_TREND,8.0
GP_AVG_2YR,59.5
GP_AVG_3YR,
GP_CONSISTENCY,8.48528137423857
WORKLOAD_LAG1,1499.3
WORKLOAD_LAG2,1385.0
WORKLOAD_TREND,252.80000000000013
MIN_CHANGE,0.6000000000000014
AVAILABILITY_SCORE,
AVAILABILITY_TIER,
