PLAYER_ID,PLAYER_NAME,TEAM_NAME,TEAM_ABBREVIATION,SEASON,SEASON_ORDER,SCHOOL,COUNTRY,DRAFT_YEAR,HEIGHT
2544,LeBron James,Los Angeles Lakers,LAL,2020-21,1,St. Vincent-St. Mary HS (OH),USA,2003,6-9
2544,LeBron James,Los Angeles Lakers,LAL,2021-22,2,St. Vincent-St. Mary HS (OH),USA,2003,6-9
2544,LeBron James,Los Angeles Lakers,LAL,2022-23,3,St. Vincent-St. Mary HS (OH),USA,2003,6-9
101108,Chris Paul,Phoenix Suns,PHX,2020-21,1,Wake Forest,USA,2005,6-0
101108,Chris Paul,Phoenix Suns,PHX,2021-22,2,Wake Forest,USA,2005,6-0
101108,Chris Paul,Phoenix Suns,PHX,2022-23,3,Wake Forest,USA,2005,6-0
200768,Kyle Lowry,Toronto Raptors,TOR,2020-21,1,Villanova,USA,2006,6-0
200768,Kyle Lowry,Miami Heat,MIA,2021-22,2,Villanova,USA,2006,6-0
200768,Kyle Lowry,Miami Heat,MIA,2022-23,3,Villanova,USA,2006,6-0
200782,P.J. Tucker,Milwaukee Bucks,MIL,2020-21,1,Texas,USA,2006,6-5
200782,P.J. Tucker,Miami Heat,MIA,2021-22,2,Texas,USA,2006,6-5
200782,P.J. Tucker,Philadelphia 76ers,PHI,2022-23,3,Texas,USA,2006,6-5
201142,Kevin Durant,Brooklyn Nets,BKN,2020-21,1,Texas,USA,2007,6-11
201142,Kevin Durant,Brooklyn Nets,BKN,2021-22,2,Texas,USA,2007,6-11
201142,Kevin Durant,Phoenix Suns,PHX,2022-23,3,Texas,USA,2007,6-11
201143,Al Horford,Boston Celtics,BOS,2020-21,1,Florida,Dominican Republic,2007,6-8
201143,Al Horford,Boston Celtics,BOS,2021-22,2,Florida,Dominican Republic,2007,6-8
201143,Al Horford,Boston Celtics,BOS,2022-23,3,Florida,Dominican Republic,2007,6-8
201144,Mike Conley,Utah Jazz,UTA,2020-21,1,Ohio State,USA,2007,6-1
201144,Mike Conley,Utah Jazz,UTA,2021-22,2,Ohio State,USA,2007,6-1
201144,Mike Conley,Minnesota Timberwolves,MIN,2022-23,3,Ohio State,USA,2007,6-1
201145,Jeff Green,Brooklyn Nets,BKN,2020-21,1,Georgetown,USA,2007,6-8
201145,Jeff Green,Denver Nuggets,DEN,2021-22,2,Georgetown,USA,2007,6-8
201145,Jeff Green,Denver Nuggets,DEN,2022-23,3,Georgetown,USA,2007,6-8
201566,Russell Westbrook,Washington Wizards,WAS,2020-21,1,UCLA,USA,2008,6-4
201566,Russell Westbrook,Los Angeles Lakers,LAL,2021-22,2,UCLA,USA,2008,6-4
201566,Russell Westbrook,LA Clippers,LAC,2022-23,3,UCLA,USA,2008,6-4
201567,Kevin Love,Cleveland Cavaliers,CLE,2020-21,1,UCLA,USA,2008,6-10
201567,Kevin Love,Cleveland Cavaliers,CLE,2021-22,2,UCLA,USA,2008,6-10
201567,Kevin Love,Miami Heat,MIA,2022-23,3,UCLA,USA,2008,6-10
201569,Eric Gordon,Houston Rockets,HOU,2020-21,1,Indiana,USA,2008,6-3
201569,Eric Gordon,Houston Rockets,HOU,2021-22,2,Indiana,USA,2008,6-3
201569,Eric Gordon,LA Clippers,LAC,2022-23,3,Indiana,USA,2008,6-3
201572,Brook Lopez,Milwaukee Bucks,MIL,2020-21,1,Stanford,USA,2008,7-1
201572,Brook Lopez,Milwaukee Bucks,MIL,2021-22,2,Stanford,USA,2008,7-1
201572,Brook Lopez,Milwaukee Bucks,MIL,2022-23,3,Stanford,USA,2008,7-1
201587,Nicolas Batum,LA Clippers,LAC,2020-21,1,Le Mans,France,2008,6-7
201587,Nicolas Batum,LA Clippers,LAC,2021-22,2,Le Mans,France,2008,6-7
201587,Nicolas Batum,LA Clippers,LAC,2022-23,3,Le Mans,France,2008,6-7
201599,DeAndre Jordan,Brooklyn Nets,BKN,2020-21,1,Texas A&M,USA,2008,6-11
201599,DeAndre Jordan,Philadelphia 76ers,PHI,2021-22,2,Texas A&M,USA,2008,6-11
201599,DeAndre Jordan,Denver Nuggets,DEN,2022-23,3,Texas A&M,USA,2008,6-11
