NEXT_PTS,NEXT_AST,NEXT_REB,NEXT_BLK,NEXT_STL,NEXT_TOV,NEXT_MIN,NEXT_FG3M,NEXT_FGA,NEXT_FTA,NEXT_FG_PCT,NEXT_FT_PCT
30.3,6.2,8.2,1.1,1.3,3.5,37.2,2.9,21.8,6.0,0.524,0.756
28.9,6.8,8.3,0.6,0.9,3.2,35.5,2.2,22.2,5.9,0.5,0.768
25.7,8.3,7.3,0.5,1.3,3.5,35.3,2.1,17.9,5.7,0.54,0.75
14.7,10.8,4.4,0.3,1.9,2.4,32.9,1.0,11.3,3.1,0.493,0.837
13.9,8.9,4.3,0.4,1.5,1.9,32.0,1.7,11.3,2.7,0.44,0.831
9.2,6.8,3.9,0.1,1.2,1.3,26.4,1.3,8.1,0.9,0.441,0.827
13.4,7.5,4.5,0.3,1.1,2.7,33.9,2.3,10.0,2.8,0.44,0.851
11.2,5.1,4.1,0.4,1.0,1.9,31.2,1.9,8.8,2.5,0.404,0.859
8.1,4.2,3.2,0.4,1.0,1.4,28.2,1.6,6.3,1.3,0.432,0.84
7.6,2.1,5.5,0.2,0.8,0.9,27.9,1.1,6.0,0.9,0.484,0.738
3.5,0.8,3.9,0.2,0.5,0.6,25.6,0.7,3.0,0.3,0.427,0.826
1.7,0.5,2.7,0.2,0.5,0.3,15.7,0.4,1.6,0.1,0.36,1.0
29.9,6.4,7.4,0.9,0.9,3.5,37.2,2.1,20.3,7.4,0.518,0.91
29.1,5.0,6.7,1.4,0.7,3.3,35.6,2.0,18.3,7.1,0.56,0.919
27.1,5.0,6.6,1.2,0.9,3.3,37.2,2.2,19.1,5.6,0.523,0.856
10.2,3.4,7.7,1.3,0.7,0.9,29.1,1.3,8.2,1.4,0.467,0.842
9.8,3.0,6.2,1.0,0.5,0.6,30.5,2.3,7.6,0.3,0.476,0.714
8.6,2.6,6.4,1.0,0.6,0.7,26.8,1.7,6.4,0.5,0.511,0.867
13.7,5.3,3.0,0.3,1.3,1.7,28.6,2.3,11.0,2.3,0.435,0.796
11.9,6.7,2.7,0.2,1.1,1.5,30.3,2.0,9.1,2.5,0.428,0.834
11.4,5.9,2.9,0.2,1.2,1.3,28.9,2.4,8.5,1.5,0.457,0.911
10.3,1.3,3.1,0.4,0.4,0.9,24.7,0.7,7.1,2.6,0.524,0.833
7.8,1.2,2.6,0.3,0.3,0.8,19.5,0.5,5.9,2.1,0.488,0.744
6.5,0.9,2.3,0.4,0.2,0.6,16.8,0.7,4.7,1.9,0.456,0.819
18.5,7.1,7.4,0.3,1.0,3.8,34.3,1.0,15.8,5.1,0.444,0.667
15.9,7.5,5.8,0.5,1.0,3.5,29.1,1.2,13.6,4.3,0.436,0.656
11.1,4.5,5.0,0.3,1.1,2.1,22.5,0.6,9.8,2.4,0.454,0.688
13.6,2.2,7.2,0.2,0.4,1.3,22.5,2.5,10.3,2.7,0.43,0.838
8.2,1.9,6.4,0.2,0.3,1.1,20.0,1.6,6.8,1.5,0.389,0.879
8.8,2.1,6.1,0.2,0.3,0.9,16.8,1.5,6.5,2.0,0.44,0.787
13.4,2.7,2.0,0.3,0.5,1.9,29.3,2.2,9.9,2.4,0.475,0.778
12.4,2.7,1.9,0.4,0.6,1.5,28.5,1.9,9.5,2.5,0.446,0.821
11.0,2.0,1.8,0.4,1.0,1.1,27.8,2.2,9.1,0.9,0.443,0.797
12.4,0.5,4.1,1.2,0.6,0.9,23.0,1.5,10.1,1.8,0.466,0.87
15.9,1.3,6.7,2.5,0.5,1.4,30.4,1.7,11.5,2.4,0.531,0.784
12.5,1.6,5.2,2.4,0.5,1.0,30.5,1.9,9.6,1.7,0.485,0.821
8.3,1.7,4.3,0.7,1.0,0.7,24.8,1.8,6.6,0.6,0.463,0.658
6.1,1.6,3.8,0.6,0.7,0.6,21.9,1.6,4.9,0.6,0.42,0.708
5.3,2.1,4.1,0.6,0.8,0.7,25.5,1.2,4.3,0.4,0.453,0.714
4.3,0.4,5.5,0.7,0.3,0.8,13.0,0.0,3.0,0.8,0.643,0.55
5.1,0.9,5.2,0.6,0.3,1.2,15.0,0.0,2.9,1.2,0.765,0.458
3.9,0.7,4.4,0.4,0.2,0.6,11.0,0.0,2.6,1.5,0.624,0.491
22.0,10.3,7.7,0.6,1.3,4.4,37.2,2.3,15.3,8.2,0.41,0.877
21.0,10.7,6.1,0.5,1.2,3.4,36.8,2.8,14.5,6.2,0.441,0.867
16.6,8.5,5.1,0.8,1.1,2.6,34.3,2.6,11.4,4.8,0.428,0.878
25.5,6.3,5.2,0.4,1.3,3.2,34.5,4.5,19.1,4.7,0.437,0.923
29.4,6.3,6.1,0.4,0.9,3.2,34.7,4.9,20.2,5.0,0.493,0.915
26.4,5.1,4.5,0.4,0.7,2.8,32.7,4.8,19.5,4.4,0.45,0.923
27.9,4.9,5.2,0.3,0.9,2.4,36.1,0.7,20.2,7.8,0.504,0.877
24.5,5.1,4.6,0.5,1.1,2.1,36.2,0.6,17.6,7.1,0.504,0.872
24.0,5.3,4.3,0.6,1.1,1.7,37.8,0.9,17.2,7.7,0.48,0.853
5.5,2.1,3.5,0.5,0.5,0.8,19.2,0.4,5.0,0.9,0.469,0.527
2.8,0.8,1.7,0.3,0.4,0.4,9.0,0.2,2.7,0.4,0.449,0.5
0.7,0.3,0.5,0.2,0.0,0.3,3.1,0.0,0.9,0.1,0.364,0.0
18.3,6.8,4.5,0.4,1.6,2.7,32.9,2.0,14.2,2.7,0.501,0.761
19.3,7.4,5.1,0.4,1.2,2.9,32.6,2.4,15.3,2.6,0.479,0.859
12.5,4.8,5.4,0.8,0.9,1.8,32.8,2.0,10.0,1.0,0.48,0.833
4.4,0.6,4.4,0.8,0.4,0.5,18.2,0.3,3.2,1.0,0.518,0.808
3.4,0.7,1.9,0.2,0.3,0.5,9.8,0.2,2.6,0.9,0.52,0.714
1.7,0.6,1.9,0.4,0.2,0.3,10.2,0.1,1.9,0.1,0.405,1.0
11.4,2.3,1.9,0.2,0.6,0.9,29.0,2.8,9.8,0.7,0.408,0.814
6.2,1.4,1.1,0.1,0.4,0.8,14.2,1.2,5.2,0.8,0.411,0.833
4.0,1.1,1.1,0.0,0.6,0.5,13.0,0.8,4.1,0.3,0.351,1.0
5.2,1.3,2.4,0.4,0.7,0.7,18.6,1.0,5.0,0.7,0.376,0.683
2.0,0.5,0.7,0.1,0.4,0.2,6.5,0.4,1.8,0.2,0.4,0.75
3.3,1.0,1.7,0.1,0.4,0.5,10.7,0.4,2.9,0.8,0.372,0.818
24.3,5.7,6.9,0.4,2.2,4.1,34.8,2.9,20.5,4.8,0.421,0.858
23.8,5.1,6.1,0.4,1.5,3.1,34.6,2.8,17.9,5.3,0.457,0.871
22.6,3.5,5.2,0.5,1.5,2.1,33.8,3.3,16.7,3.9,0.471,0.907
27.4,5.8,4.4,0.6,1.4,2.5,37.6,3.4,21.2,4.4,0.469,0.915
27.1,5.5,5.1,0.8,1.1,2.1,37.3,3.1,20.1,4.6,0.494,0.905
25.6,5.2,5.0,0.5,1.3,1.8,35.0,3.0,19.5,3.6,0.497,0.905
6.0,0.6,5.1,0.4,0.4,0.8,15.7,0.0,4.7,2.0,0.528,0.526
3.3,1.0,3.6,0.3,0.2,0.6,11.2,0.0,2.4,1.1,0.613,0.288
17.8,2.6,11.4,0.8,0.6,2.4,30.3,0.8,12.7,3.9,0.544,0.82
14.1,1.8,10.2,0.7,0.3,2.0,24.9,0.5,10.3,2.8,0.547,0.826
12.2,2.1,8.8,0.8,0.4,1.4,23.5,0.5,8.8,2.5,0.559,0.785
5.8,0.6,4.6,0.7,0.3,0.7,14.1,0.0,4.0,2.0,0.593,0.535
4.3,0.9,4.3,1.4,0.3,0.8,14.3,0.0,3.4,1.1,0.578,0.357
4.4,1.3,5.2,0.9,0.3,1.1,19.8,0.0,3.3,1.4,0.565,0.481
21.9,2.4,4.1,0.4,0.7,1.8,33.0,4.4,18.1,1.9,0.436,0.879
17.9,2.3,3.3,0.5,0.6,1.5,29.7,3.5,14.7,1.8,0.432,0.927
11.7,3.0,4.9,0.3,1.0,1.1,28.6,1.9,9.0,3.3,0.391,0.822
12.8,2.2,3.1,0.2,0.7,1.1,22.0,1.9,9.0,3.7,0.436,0.814
10.4,1.3,2.3,0.2,0.4,0.7,18.4,1.9,8.6,2.5,0.369,0.868
7.6,1.4,2.6,0.1,0.4,1.2,17.5,0.8,6.7,0.5,0.474,0.889
3.8,0.9,2.0,0.1,0.3,0.5,10.1,0.8,3.3,0.3,0.409,1.0
2.5,0.6,1.5,0.1,0.2,0.5,8.3,0.6,2.6,0.2,0.338,0.833
23.8,3.9,6.5,0.5,1.4,1.7,33.6,2.0,16.8,5.4,0.512,0.871
23.7,3.6,6.1,0.9,1.6,1.8,34.3,2.1,17.1,4.2,0.525,0.885
17.6,3.2,11.0,1.0,1.0,1.9,33.1,1.4,15.8,1.7,0.473,0.76
17.6,3.2,11.0,0.7,0.7,1.7,33.5,1.5,14.0,1.9,0.52,0.835
18.0,3.3,10.5,0.8,0.7,1.6,34.3,1.2,15.9,1.7,0.484,0.822
17.2,3.5,6.8,0.6,0.6,1.6,34.8,1.4,14.0,2.8,0.482,0.842
14.7,2.5,5.7,0.5,0.9,1.2,32.9,1.7,11.4,1.7,0.501,0.876
17.2,3.1,6.5,0.7,1.0,1.3,33.8,1.3,13.6,3.0,0.487,0.878
16.8,4.8,3.6,0.2,0.7,2.3,31.2,2.2,16.3,2.2,0.392,0.847
10.2,3.4,2.1,0.1,0.7,1.7,24.4,1.4,9.4,1.1,0.411,0.91
10.2,3.8,1.9,0.1,0.5,1.3,22.2,1.2,9.2,1.2,0.431,0.806
8.0,3.6,2.7,0.3,0.6,1.3,24.6,1.0,6.2,1.7,0.445,0.885
6.9,3.5,1.7,0.1,0.5,0.9,19.8,1.1,5.7,1.2,0.427,0.792
2.4,1.6,1.2,0.1,0.2,0.5,11.4,0.5,2.5,0.3,0.359,0.571
21.4,5.5,5.9,0.5,1.6,2.1,33.9,0.5,14.5,8.0,0.48,0.87
22.9,5.3,5.9,0.3,1.8,1.6,33.4,0.6,13.9,8.7,0.539,0.85
20.8,5.0,5.3,0.3,1.3,1.7,34.0,1.0,13.2,7.7,0.499,0.858
23.2,3.1,9.9,2.3,1.2,2.1,35.1,0.3,17.4,6.1,0.532,0.713
