Target,Linear,RF,XGBoost,Simple_Average,Weighted_Average,Stacking,Best
PTS,2.1208978162558294,2.191845355654753,2.2048355919122695,2.114868104332633,2.114147775187066,2.0965769487813564,Stacking
AST,0.608165403449087,0.620271034683292,0.6333234452605248,0.6091877187911013,0.6090481204148668,0.6050874072598189,Stacking
REB,0.792173105498679,0.8136068585249531,0.8109090659618378,0.7847171503591238,0.7846086932821186,0.7792787934515721,Stacking
BLK,0.13473013671747042,0.15765156726509053,0.13942639114335179,0.13590102702432622,0.13532189145014356,0.13525360536321737,Linear
STL,0.19520889616538756,0.20559173620882285,0.19668537041544915,0.19402136771452738,0.1939028858662035,0.19587130388122226,Weighted_Average
TOV,0.2998715071512088,0.3222076658449639,0.31194944465160374,0.29952226460779646,0.2992903193078519,0.29723641908322934,Stacking
MIN,3.5904535815745686,3.7076825904726673,3.668290252685547,3.556703731197017,3.556117959711214,3.544979040852096,Stacking
FG3M,0.3420996051797651,0.34933823380636014,0.34551735664176525,0.3341454221055335,0.33410973924220244,0.3346040172295877,Weighted_Average
FGA,1.5513412812952783,1.616554801105901,1.6406640411019324,1.5533149565232793,1.5525540932576773,1.5590364596405069,Linear
FTA,0.5366285571697917,0.5608077609145451,0.5419741552472115,0.5233417722913914,0.5232396348851773,0.548866928089866,Weighted_Average
FG_PCT,0.03388131292704979,0.03426590253338939,0.03440446582376957,0.03358564207267829,0.033582595207255796,0.03336226266039903,Stacking
FT_PCT,0.083767060546868,0.07018534960960063,0.07686223632514476,0.07326072873779564,0.07283008920321075,0.07346948132147277,RF
