feature,importance
FG3A,0.09216828193783275
THREE_PT_VOLUME,0.08879770584145232
FG3M,0.07580850802976709
ADV_PCT_PTS_3PT,0.051545509233794404
ADV_PCT_FGA_2PT,0.04089030062137345
ADV_PCT_PTS_2PT,0.04050470256105746
THREE_PT_RATE,0.03866667227583204
PTS_PACE_ADJ,0.031249550114008644
ADV_PCT_FGA_3PT,0.030651291043506827
PTS,0.028493726304416413
ADV_OREB_PCT,0.02780142826415547
FG3_PCT,0.023225119468069204
FGA,0.02311269237804313
FGM,0.021834396355574753
FG_PCT,0.020457445198214408
USAGE_MINUTES_PRODUCT,0.01831860451514418
FG3M_LAG1,0.01491135969818213
MPG,0.01483815902609135
FG3A_LAG1,0.01474742718583311
FGA_PER_MIN,0.012888846673349686
MIN,0.011222144601087083
SCORER_ROLE,0.010841631803189818
FT_PCT,0.010733960616754586
ADV_REB_PCT,0.009714836323147609
PTS_PER_MIN,0.009343845047695693
PACE_USAGE_INTERACTION,0.009088478076022808
MIN_EFFICIENCY_INTERACTION,0.008749438334733305
AGE_MINUTES_RISK,0.00792402517388705
ADV_USG_PCT,0.006614331921182001
WEIGHT,0.005932180492243053
AGE_USAGE_INTERACTION,0.005667095627440063
AST_PACE_ADJ,0.0055966465931329605
USAGE_RATE,0.0053259635846992235
TOTAL_MINUTES,0.005158333614791903
FG_PCT_LAG1,0.004956659017126133
FTM,0.004863448150367772
IS_CENTER,0.004563760201357893
ADV_OFF_RATING,0.004552189137222902
ADV_USG_PCT_LAG1,0.003957252470117637
FGA_LAG1,0.003937998975694462
PTS_LAG1,0.003824265866836208
EXP_MIN_INTERACTION,0.0036485645895920973
HEIGHT_INCHES,0.0034852757117511918
LOW_WORKLOAD,0.003205224283266383
REB,0.0031599107173342
IS_GUARD,0.0031366223252812485
PTS_PER_ATTEMPT,0.003100743547131619
ADV_DREB_PCT,0.0030474193465629905
AST,0.0030108774269751357
ADV_TS_PCT,0.002998367947852436
ADV_EFG_PCT,0.0029401739713152035
ADV_PIE,0.002893287075785056
FGM_LAG1,0.0028774026361815413
SHOOTING_EFFICIENCY,0.0028057063047979714
ADV_NET_RATING,0.0027821700246608663
REB_PACE_ADJ,0.0027694190580551
FG3M_AVG2,0.0026851242363646792
AST_TO_RATIO,0.0025049820058153263
FT_PCT_LAG1,0.0024786705686160627
MEDIUM_WORKLOAD,0.002303553442389683
