feature,importance
ADV_PCT_PTS_3PT,0.09367457077703417
FG_PCT,0.06587836455155024
ADV_PCT_FGA_2PT,0.06030496184984236
THREE_PT_RATE,0.05660939610320999
ADV_PCT_PTS_2PT,0.047344501809210425
ADV_PCT_FGA_3PT,0.04167679318266268
FG3A,0.040124153845770935
ADV_OREB_PCT,0.03694023161110397
IS_CENTER,0.032679466708130066
ADV_EFG_PCT,0.030998353494867285
FG3_PCT,0.02734042738415619
PTS_PER_ATTEMPT,0.02590085267538122
THREE_PT_VOLUME,0.024772801647420392
ADV_REB_PCT,0.023488187730645246
HEIGHT_INCHES,0.02196016740222114
FG_PCT_LAG1,0.019775157457532846
FG3M,0.019706966748982035
SHOOTING_EFFICIENCY,0.017131275828413547
ADV_TS_PCT,0.01667235795497105
WEIGHT,0.01599823916900645
HEIGHT_CAT,0.015565251118748156
IS_GUARD,0.011953078165878327
FG3A_LAG1,0.009993752664440891
ADV_DREB_PCT,0.009090388173108532
ADV_REB_PCT_LAG1,0.008675167598334654
BLK,0.008570404641936098
FG3M_LAG1,0.007226262953560003
REB_PACE_ADJ,0.006673121951820663
FGA_PER_MIN,0.005203732005682682
USAGE_RATE,0.004517952961315036
WEIGHT_CAT,0.004403040320043269
ADV_USG_PCT,0.004278406978563313
PACE_USAGE_INTERACTION,0.004164084340626819
ADV_TS_PCT_LAG1,0.004128118379510769
POS_Center,0.004125155119623918
REB,0.00394715789158405
DRAFT_NUMBER,0.0038663146936385334
FT_PCT,0.0038245680751419348
ADV_PIE,0.0036658864408100397
MIN_EFFICIENCY_INTERACTION,0.003624628002634229
BLK_LAG1,0.0035545332051460914
AST_TO_RATIO,0.0033418393747024467
AST_PACE_ADJ,0.003222386447142416
PTS_PER_MIN,0.003090253275668359
FTM,0.003059895915687011
AST,0.00275977033983843
PTS_PACE_ADJ,0.0027113714013887284
FTA,0.002546493870515082
ADV_PIE_LAG1,0.002515235360923569
TOTAL_MINUTES,0.002489613391871895
PACE_ADJUSTMENT,0.0024495173471224888
ADV_AST_TO,0.0024495136404289655
FGA,0.002443302865064267
AGE_USAGE_INTERACTION,0.002412202527896825
ADV_AST_RATIO,0.002304298288463387
ADV_TM_TOV_PCT,0.002281293488103856
MIN,0.0022493488171537067
ADV_AST_PCT,0.0021857269544872113
GP_RATE_CURRENT,0.0021835028553179765
TEAM_NET_RATING_ABS,0.0021731639973945225
PTS,0.0021672021038816685
USAGE_MINUTES_PRODUCT,0.002151105204702676
TEAM_PACE,0.0021188368108065315
BMI,0.0021066720993808425
MPG,0.00208163388744074
ADV_PACE,0.001974364344329064
GP_RATE,0.0019552734455704525
AGE_TEAM_QUALITY,0.001953471570034913
DEFENSIVE_STATS,0.0019491185587295265
ADV_DEF_RATING,0.001825433150373701
GP,0.0018079789954742545
ADV_OFF_RATING,0.0018009567402168802
GAMES_MISSED,0.0017509784280225996
AGE_MINUTES_RISK,0.0017342091143063344
FGM,0.001725614758660392
FG_PCT_LAG2,0.001679018918944167
FTA_LAG1,0.0016600089362469503
TEAM_FTA_RATE,0.0016193207555050125
PTS_LAG1,0.0016063706586483854
ADV_NET_RATING,0.0016014927100876488
TEAM_OREB_PCT,0.001548363071042665
FGM_LAG1,0.001517610662102009
STL,0.001504229380934919
ADV_REB_PCT_LAG2,0.0015035187708595434
TEAM_OFF_STRENGTH,0.0014979946575413316
TEAM_W_PCT,0.0014765926083714306
TEAM_NET_RATING,0.001474823521419818
TEAM_TM_TOV_PCT,0.001459634304101445
TEAM_W,0.0014539401489936596
POS_Guard,0.0014230428368406931
TEAM_OFF_RATING,0.0014178630957574988
STL_LAG1,0.001379536847942245
TEAM_DEF_RATING,0.001373047805605545
TOV,0.0013154287547329658
IS_FORWARD,0.0013109344409369195
FT_PCT_LAG1,0.0013048318416290126
TEAM_PIE,0.0012959535917949757
TEAM_EFG_PCT,0.0012716248086556076
TEAM_TS_PCT,0.0012634079559780626
MISSED_GAMES_LAG1,0.0012374289311077042
TEAM_DEF_STRENGTH,0.0012223388505293426
TEAM_L,0.0011597749503356029
DRAFT_ROUND,0.0011505609628521226
POS_Forward,0.0011433084624057877
REB_LAG1,0.001140524256252933
YEARS_EXPERIENCE,0.0011162179113441285
FGA_LAG1,0.001083657352546563
ADV_USG_PCT_LAG1,0.0010681761999581977
FTM_LAG1,0.0010186500132675152
EXP_MIN_INTERACTION,0.0010135024972387288
WORKLOAD_LAG1,0.0009468407793448788
AGE_SQUARED,0.0009425679610228989
AGE,0.0009053275087339322
ADV_AST_PCT_LAG1,0.0009009507862352769
POS_Center-Forward,0.0008995923493064345
REB_LAG2,0.0008686104458834926
MIN_LAG1,0.0007862322785036965
AST_LAG1,0.0007680637456682365
GP_LAG1_RATE,0.0006870684299929668
GP_LAG1,0.0006509582619668408
TOV_LAG1,0.0006056129203256811
REB_AVG2,0.000540204334647175
AGE_BIN,0.0005162773624400789
AGE_INJURY_RISK,0.0005144830473223727
MEDIUM_AVAILABILITY,0.0005086473025162764
FG3M_LAG2,0.000499982032293808
LOW_AVAILABILITY,0.00045584290435817204
BLK_AVG2,0.00045512766573401804
DEFENDER_ROLE,0.0004336467168580199
FG_PCT_YOY_CHANGE,0.0003450176961820473
MIN_CHANGE,0.00033680494079482167
ADV_TS_PCT_YOY_CHANGE,0.00033524046522233786
ON_WINNING_TEAM,0.00031437243684632245
REB_YOY_CHANGE,0.00030293528824856374
MIN_CV3,0.0002934894538657537
PTS_LAG2,0.00029219599937469794
FG3A_LAG2,0.000288285781890972
AST_AVG2,0.0002870817257545145
PTS_YOY_CHANGE,0.0002836364145757272
ON_PLAYOFF_TEAM,0.0002782434732529899
FTA_AVG2,0.00027212917193898515
MIN_YOY_CHANGE,0.00026672306502431163
ADV_TS_PCT_LAG2,0.00025980862722582666
REBOUNDER_ROLE,0.0002540037846884899
FG3M_AVG2,0.0002520215519881599
GP_STD3,0.0002455841547027703
PTS_AVG2,0.00024437445458581506
SCORER_ROLE,0.0002415506830083962
AST_YOY_CHANGE,0.00023902597144742505
ADV_PIE_LAG2,0.00023630759444003872
GP_AVG_2YR,0.00021752045848265125
FGA_AVG2,0.00021390975546209146
LOW_WORKLOAD,0.00021352260022968316
MIN_AVG2,0.00021232023168369613
HISTORICAL_SEASONS_AVAILABLE,0.00021223922207110177
FT_PCT_LAG2,0.00021168236594800292
IS_YOUNG,0.00020529773166997746
PTS_STD3,0.00019571106682214154
POS_Forward-Center,0.00018766526077012405
FGA_LAG2,0.00018238505929751115
GP_LAG2,0.00018022177925803253
MIN_LAG2,0.00017623873909860936
WORKLOAD_LAG2,0.00017231321440724887
INJURY_PRONE_PATTERN,0.00016867776599278607
TOV_AVG2,0.00015821302046644867
RECOVERING_FROM_LOW_PLAY,0.00015754470798403606
PLAYMAKER_ROLE,0.00015716659903464107
HIGH_AVAILABILITY,0.00015655788770531552
GP_CONSISTENCY,0.00015318876706088167
STL_LAG2,0.0001518285136517826
IN_PRIME,0.00014687361938410865
ADV_USG_PCT_LAG2,0.0001421932688613991
GP_CV3,0.00013834141512614794
MIN_STD3,0.00013423212862062958
FTA_LAG2,0.0001336910509467369
AST_LAG2,0.00013256247741176403
WORKLOAD_TREND,0.00013167047803881165
FTM_LAG2,0.00012556691848543403
BLK_LAG2,0.00012125787800212082
STL_AVG2,0.00011835031156456448
IS_ROOKIE,0.00011122828082531588
MEDIUM_WORKLOAD,0.00010950392052049623
GP_TREND,0.00010829922858303357
ADV_AST_PCT_LAG2,9.367266560673064e-05
HIGHLY_CONSISTENT_AVAILABILITY,8.798926355035397e-05
PTS_CV3,8.743661064978392e-05
MISSED_GAMES_LAG2,6.760392854166377e-05
POS_Guard-Forward,5.1249577997419e-05
GP_IMPROVING,4.2030433201877184e-05
GP_LAG2_RATE,3.5794150955143144e-05
FGM_LAG2,3.576179736053201e-05
HEAVY_MINUTES_LOAD,2.8448598750855858e-05
INCREASING_WORKLOAD,1.6614421630106517e-05
IS_VETERAN,1.608160875972818e-05
TOV_LAG2,1.6076218048883362e-05
HIGH_WORKLOAD,8.526885150539276e-06
INCREASED_MINUTES,3.74135858172494e-06
POS_Forward-Guard,3.5827316609798978e-06
GP_LAG3,0.0
ADV_AST_PCT_LAG3,0.0
ADV_PIE_LAG3,0.0
FTM_LAG3,0.0
AVAILABILITY_SCORE,0.0
LOAD_MANAGEMENT,0.0
REDUCED_MINUTES,0.0
FG3A_LAG3,0.0
RECOVERY_YEAR,0.0
ADV_USG_PCT_LAG3,0.0
ADV_TS_PCT_LAG3,0.0
PTS_WAVG,0.0
PTS_AVG3,0.0
ADV_REB_PCT_LAG3,0.0
MIN_WAVG,0.0
BLK_AVG3,0.0
REB_WAVG,0.0
MIN_AVG3,0.0
BLK_WAVG,0.0
FGA_WAVG,0.0
FTA_WAVG,0.0
AST_TREND,0.0
FTA_AVG3,0.0
PTS_TREND,0.0
REB_TREND,0.0
FG3M_WAVG,0.0
TOV_WAVG,0.0
FGM_LAG3,0.0
FT_PCT_LAG3,0.0
FG_PCT_LAG3,0.0
FTA_LAG3,0.0
FGA_LAG3,0.0
FG_PCT_TREND,0.0
MIN_TREND,0.0
IS_YOUNG_PLAYER,0.0
ADV_TS_PCT_TREND,0.0
FGA_AVG3,0.0
FG3M_AVG3,0.0
STL_AVG3,0.0
STL_WAVG,0.0
REB_AVG3,0.0
AST_WAVG,0.0
AST_AVG3,0.0
TOV_AVG3,0.0
AST_LAG3,0.0
MIN_LAG3,0.0
PTS_LAG3,0.0
BLK_LAG3,0.0
TOV_LAG3,0.0
FG3M_LAG3,0.0
STL_LAG3,0.0
REB_LAG3,0.0
GP_DECLINING,0.0
GP_LAG3_RATE,0.0
MISSED_GAMES_LAG3,0.0
GP_AVG_3YR,0.0
VETERAN_INJURY_RISK,0.0
MAJOR_GP_DROP,0.0
AVAILABILITY_TIER,0.0
