feature,importance
FTM,0.08663022462174971
FTA,0.0852335635593796
PTS,0.07051422698227633
USAGE_MINUTES_PRODUCT,0.06068712695807607
PTS_PACE_ADJ,0.04896081518639581
PTS_PER_MIN,0.03792391750363267
FGM,0.03707421232898409
ADV_USG_PCT,0.03702923124305714
PACE_USAGE_INTERACTION,0.03430653071998493
FGA,0.03283123451746069
USAGE_RATE,0.030105537916543454
MIN,0.02353681982278188
MPG,0.020318935956210746
ADV_PIE,0.019931874463450062
FTA_LAG1,0.017868535140541597
MIN_EFFICIENCY_INTERACTION,0.017467502649682113
FTM_LAG1,0.016562065514665512
PTS_LAG1,0.01511471652314508
SCORER_ROLE,0.013357635773425622
ADV_USG_PCT_LAG1,0.013339778987016928
HEAVY_MINUTES_LOAD,0.013135712696380149
AGE_USAGE_INTERACTION,0.013056814922649715
FGA_PER_MIN,0.010830602844420022
REB_PACE_ADJ,0.010554248264052737
TOV,0.010439163607956294
FGA_LAG1,0.009312778380334
AST,0.009134857513313997
ADV_PCT_PTS_3PT,0.008031973327126627
AST_PACE_ADJ,0.007980532330722788
REB,0.0060758653336459335
ADV_PCT_FGA_3PT,0.00534549242010713
AGE_MINUTES_RISK,0.005309616676380635
ADV_PCT_FGA_2PT,0.005232040266209038
FGM_LAG1,0.00510170968180778
THREE_PT_RATE,0.004783618389057358
EXP_MIN_INTERACTION,0.004700249418958832
MIN_LAG1,0.004611221925064734
ADV_PIE_LAG1,0.004251175316502848
TOTAL_MINUTES,0.004014987106993113
PLAYMAKER_ROLE,0.0035058952788267622
ADV_DREB_PCT,0.0034268676607028662
THREE_PT_VOLUME,0.0031420669290514814
LOW_WORKLOAD,0.0031406828568548164
DEFENSIVE_STATS,0.0030827292802026287
FG3A,0.0030288258944855245
ADV_REB_PCT,0.0029953292178720283
WEIGHT,0.002960282406982466
REBOUNDER_ROLE,0.002825776367116395
ADV_TS_PCT,0.002565578737889784
TOV_LAG1,0.0025403173929631814
FG3M,0.002514415480343319
DRAFT_NUMBER,0.0024518773440697183
AGE,0.002369396529838934
FG_PCT,0.002315328803530766
ADV_AST_PCT,0.0022388379426437326
BLK,0.00222415348537447
PTS_PER_ATTEMPT,0.0021265077003063725
AST_LAG1,0.0020189420783778777
FG3_PCT,0.0019477753214167024
ADV_AST_TO,0.0019208591285307735
FTA_LAG2,0.001915410781453772
ADV_PCT_PTS_2PT,0.001893391475329986
SHOOTING_EFFICIENCY,0.0018689959621016707
AGE_SQUARED,0.0018501588095788998
ADV_TM_TOV_PCT,0.0018428496211636972
HEIGHT_INCHES,0.001743744698487708
BMI,0.001734135089823982
ADV_OREB_PCT,0.001666393181496695
ADV_NET_RATING,0.001660953212969123
AST_TO_RATIO,0.001585677679650935
ADV_AST_RATIO,0.0015748156046019987
ADV_DEF_RATING,0.001573534631759989
GP_RATE_CURRENT,0.0015180915354707138
TEAM_NET_RATING,0.001517039386130337
TEAM_TS_PCT,0.0013988537120240329
GP,0.0013916245345176007
GP_RATE,0.0013791913113432811
PACE_ADJUSTMENT,0.0013773566548272173
TEAM_EFG_PCT,0.001374451343677121
ADV_PACE,0.0013624964521546732
TEAM_DEF_STRENGTH,0.0013616829728285858
TEAM_OREB_PCT,0.001314131139169
GAMES_MISSED,0.0013087006845258742
FT_PCT,0.0013044063100415284
TEAM_NET_RATING_ABS,0.0012714659345700197
STL,0.001261140960325399
TEAM_TM_TOV_PCT,0.0012497392738743196
ADV_EFG_PCT,0.0012453011240363718
ADV_OFF_RATING,0.0012121364506376664
REB_LAG1,0.0012103358077719165
TEAM_W_PCT,0.001202633316912904
ADV_AST_PCT_LAG1,0.0011932974959172815
YEARS_EXPERIENCE,0.001189975914168498
WORKLOAD_LAG1,0.001170719931479582
HEIGHT_CAT,0.0011281234582325753
AGE_TEAM_QUALITY,0.0011262453262810511
FTA_AVG2,0.0010689962759534272
TEAM_FTA_RATE,0.0010239289761156186
TEAM_PACE,0.0010060868304368061
PTS_LAG2,0.001005705509789955
TEAM_OFF_RATING,0.0009843864465977823
TEAM_W,0.0009375159117644168
AGE_INJURY_RISK,0.000934250588426338
TEAM_L,0.0009147906237894192
TEAM_OFF_STRENGTH,0.0009004976951611809
ADV_TS_PCT_LAG1,0.0008997301098876184
FG3A_LAG1,0.0008829004277258739
AGE_BIN,0.0008800030264160253
TEAM_PIE,0.000871468001566727
TEAM_DEF_RATING,0.0008256693858496732
STL_LAG1,0.0007689063145282054
FG3M_LAG1,0.000730394172999306
FG_PCT_LAG1,0.0007060164434840456
BLK_LAG1,0.0006518470897862301
ADV_REB_PCT_LAG1,0.0006479061120865129
GP_LAG1,0.0006367435781591587
FT_PCT_LAG1,0.0006296892250768866
IS_GUARD,0.0005520277680895248
MISSED_GAMES_LAG1,0.0005160429596498872
DEFENDER_ROLE,0.00048536279520203153
GP_LAG1_RATE,0.0004825600008177038
FGA_AVG2,0.00048118045198826295
MEDIUM_WORKLOAD,0.00044269439979870774
FTM_LAG2,0.0003825624808463112
FG3A_LAG2,0.0003612188036302422
IS_YOUNG,0.00035822756300364584
FG_PCT_LAG2,0.00035738897364575564
FGA_LAG2,0.00034913341518019573
IS_CENTER,0.00034589367480179924
WEIGHT_CAT,0.0003357455825854175
DRAFT_ROUND,0.0003144423388679988
POS_Forward-Center,0.00026112721650271414
MIN_STD3,0.0002546086850310982
MEDIUM_AVAILABILITY,0.000239478331315601
PTS_AVG2,0.0002382775060036176
IS_FORWARD,0.00023339623902497646
FG3M_LAG2,0.0002320385728178774
HISTORICAL_SEASONS_AVAILABLE,0.00022957913506521888
LOW_AVAILABILITY,0.00021680483169959997
FG3M_AVG2,0.0002142249435594753
FGM_LAG2,0.00020739502229020633
MIN_AVG2,0.00020369193202567106
POS_Center,0.00020336117298354716
POS_Guard,0.0002032629683252586
REB_YOY_CHANGE,0.00019623179913521007
TOV_AVG2,0.00018709891125136017
PTS_CV3,0.0001859692496738246
AST_AVG2,0.00017849162218481294
ON_PLAYOFF_TEAM,0.00017450947972751237
MIN_CHANGE,0.00016693929762272368
GP_AVG_2YR,0.00016100128571630936
WORKLOAD_TREND,0.00015713941921710928
GP_CV3,0.00015659097494852967
WORKLOAD_LAG2,0.00015340720243879591
GP_LAG2,0.0001513189068431328
ADV_AST_PCT_LAG2,0.00014969480174221897
REB_LAG2,0.0001471249219913162
ADV_TS_PCT_YOY_CHANGE,0.00013916506590303554
IS_ROOKIE,0.00013864224401457522
HIGH_WORKLOAD,0.00013580481548205805
IN_PRIME,0.00013311636707228386
POS_Forward,0.00013054411281293615
FT_PCT_LAG2,0.00013036525770851015
ADV_PIE_LAG2,0.00012448139647293347
MIN_LAG2,0.00011647917876284348
ON_WINNING_TEAM,0.00011310859273449258
PTS_STD3,0.00011155774759547019
REB_AVG2,0.0001092714436017641
FG_PCT_YOY_CHANGE,0.00010668764024597622
ADV_USG_PCT_LAG2,0.0001056334739526761
AST_LAG2,0.00010561717758082067
TOV_LAG2,0.00010315207511828767
GP_IMPROVING,0.00010136056775616952
HIGH_AVAILABILITY,0.00010055013178951233
ADV_REB_PCT_LAG2,9.883382017024199e-05
GP_STD3,8.973640219923574e-05
MIN_CV3,8.801179163463365e-05
MISSED_GAMES_LAG2,7.907273675913267e-05
STL_AVG2,7.768097377529558e-05
INCREASING_WORKLOAD,7.202969811864113e-05
AST_YOY_CHANGE,7.161262999194078e-05
RECOVERING_FROM_LOW_PLAY,7.128101007327964e-05
STL_LAG2,7.056007517707503e-05
GP_LAG2_RATE,6.088213862016876e-05
POS_Center-Forward,5.633596964435395e-05
ADV_TS_PCT_LAG2,5.075614870219365e-05
BLK_AVG2,5.024176374349176e-05
MIN_YOY_CHANGE,4.7236106324241776e-05
GP_CONSISTENCY,4.670716278294919e-05
BLK_LAG2,4.336687415041439e-05
GP_TREND,3.1086456255897565e-05
INJURY_PRONE_PATTERN,2.8264093598739523e-05
IS_VETERAN,2.4645249618017356e-05
PTS_YOY_CHANGE,2.173544060356896e-05
VETERAN_INJURY_RISK,1.2736735273806577e-05
REDUCED_MINUTES,3.5740703570615346e-06
POS_Guard-Forward,2.808747238340384e-06
HIGHLY_CONSISTENT_AVAILABILITY,1.0375739224810201e-06
LOAD_MANAGEMENT,7.562529538268578e-07
FTM_LAG3,0.0
FG3A_LAG3,0.0
ADV_PIE_LAG3,0.0
ADV_REB_PCT_LAG3,0.0
ADV_AST_PCT_LAG3,0.0
ADV_TS_PCT_LAG3,0.0
ADV_USG_PCT_LAG3,0.0
GP_LAG3,0.0
MIN_LAG3,0.0
FG3M_LAG3,0.0
AST_LAG3,0.0
PTS_LAG3,0.0
REB_LAG3,0.0
STL_LAG3,0.0
BLK_LAG3,0.0
AVAILABILITY_SCORE,0.0
INCREASED_MINUTES,0.0
RECOVERY_YEAR,0.0
FGM_LAG3,0.0
FG_PCT_LAG3,0.0
FGA_LAG3,0.0
FTA_LAG3,0.0
FT_PCT_LAG3,0.0
TOV_LAG3,0.0
FGA_AVG3,0.0
FTA_AVG3,0.0
IS_YOUNG_PLAYER,0.0
MIN_TREND,0.0
AST_TREND,0.0
REB_TREND,0.0
FG_PCT_TREND,0.0
ADV_TS_PCT_TREND,0.0
MIN_WAVG,0.0
MIN_AVG3,0.0
FG3M_WAVG,0.0
FG3M_AVG3,0.0
TOV_WAVG,0.0
AST_AVG3,0.0
REB_AVG3,0.0
AST_WAVG,0.0
PTS_WAVG,0.0
PTS_AVG3,0.0
BLK_WAVG,0.0
BLK_AVG3,0.0
STL_AVG3,0.0
STL_WAVG,0.0
REB_WAVG,0.0
TOV_AVG3,0.0
FTA_WAVG,0.0
PTS_TREND,0.0
FGA_WAVG,0.0
POS_Forward-Guard,0.0
GP_LAG3_RATE,0.0
MISSED_GAMES_LAG3,0.0
GP_DECLINING,0.0
GP_AVG_3YR,0.0
MAJOR_GP_DROP,0.0
AVAILABILITY_TIER,0.0
