feature,importance
AST_PACE_ADJ,0.21841884
AST,0.13525525
ADV_AST_PCT,0.025572727
PTS_PACE_ADJ,0.013658185
LOAD_MANAGEMENT,0.013283651
ADV_PIE_LAG2,0.0131047955
BMI,0.011796522
FGM,0.010443632
ADV_AST_PCT_LAG1,0.009903229
ADV_OFF_RATING,0.009289306
FGA,0.008855709
FTM,0.008815226
POS_Guard,0.008622402
FTM_LAG1,0.008590037
WORKLOAD_TREND,0.008499764
GP_TREND,0.008150306
MIN_EFFICIENCY_INTERACTION,0.007837092
ADV_PIE_LAG1,0.007739556
TEAM_TM_TOV_PCT,0.007694335
PTS_PER_MIN,0.0075697117
HEIGHT_INCHES,0.007523711
FGA_PER_MIN,0.0074542314
BLK_LAG1,0.007320104
AST_TO_RATIO,0.0070248167
PTS_LAG1,0.0068176202
ADV_TS_PCT_LAG2,0.006443649
GP,0.006338937
ADV_OREB_PCT,0.006331347
AGE_MINUTES_RISK,0.0063040257
PACE_USAGE_INTERACTION,0.006243999
AST_LAG1,0.0062235133
ADV_TS_PCT_LAG1,0.006100909
FG3A_LAG2,0.006029254
WEIGHT,0.005992556
REB_LAG2,0.0059347334
TEAM_DEF_RATING,0.0058986773
GP_LAG1,0.0058321143
MIN,0.0058122696
ADV_PIE,0.005787052
FT_PCT,0.0055128643
ADV_NET_RATING,0.0055045234
PTS_AVG2,0.005348434
FG3M,0.005330152
FGM_LAG1,0.0053195553
REB_LAG1,0.005216558
ADV_USG_PCT,0.005215121
FG_PCT,0.0052097333
ADV_PCT_PTS_3PT,0.0051078303
ADV_TS_PCT,0.005103737
TEAM_NET_RATING_ABS,0.005017021
TOTAL_MINUTES,0.0050111613
IS_GUARD,0.0048968513
ADV_AST_RATIO,0.0048805564
RECOVERING_FROM_LOW_PLAY,0.0047222925
TEAM_PACE,0.0046885135
EXP_MIN_INTERACTION,0.0045186784
ADV_AST_TO,0.0044968855
TEAM_W,0.0044832393
USAGE_MINUTES_PRODUCT,0.0044064075
FG_PCT_LAG1,0.0043908847
FG3M_LAG1,0.0043692575
REB_PACE_ADJ,0.00433348
TEAM_FTA_RATE,0.0042192
FG3A,0.0041735126
TEAM_TS_PCT,0.0041648084
AGE_TEAM_QUALITY,0.0041574915
TOV_LAG2,0.0041531892
MIN_LAG1,0.0041414276
YEARS_EXPERIENCE,0.0041329795
ADV_EFG_PCT,0.004085565
ADV_AST_PCT_LAG2,0.004063776
FTA_AVG2,0.004059109
ADV_REB_PCT_LAG1,0.004020474
FG3_PCT,0.004011169
STL,0.0039482815
FT_PCT_LAG2,0.0039447155
ADV_DEF_RATING,0.0039335457
ADV_USG_PCT_LAG2,0.0039057243
AST_AVG2,0.0038022865
STL_AVG2,0.0037834635
FTA,0.0037496053
FT_PCT_LAG1,0.003671801
BLK,0.003666786
ADV_PCT_PTS_2PT,0.0036606505
MIN_STD3,0.0036343192
AGE,0.003623512
ADV_REB_PCT,0.0036208471
AGE_USAGE_INTERACTION,0.0036174387
WORKLOAD_LAG2,0.0035459204
ADV_REB_PCT_LAG2,0.003522779
TEAM_NET_RATING,0.0035068388
TEAM_OREB_PCT,0.0034471794
FG3A_LAG1,0.0034385798
DRAFT_ROUND,0.0034076136
PTS_STD3,0.0034055319
REB_AVG2,0.0033992073
GP_AVG_2YR,0.0033825503
ADV_TS_PCT_YOY_CHANGE,0.0033699772
