feature,importance
IS_CENTER,0.20797107
DEFENDER_ROLE,0.123269364
BLK,0.122058526
DEFENSIVE_STATS,0.022700582
REB_PACE_ADJ,0.016236117
ADV_DREB_PCT,0.013142704
POS_Center-Forward,0.012653045
BLK_LAG1,0.012433584
MEDIUM_AVAILABILITY,0.011284128
GP_LAG1,0.009768057
ADV_PCT_PTS_2PT,0.009521897
ADV_AST_PCT,0.009336132
HEIGHT_INCHES,0.007957908
USAGE_RATE,0.0071232487
BLK_AVG2,0.007104636
AST_PACE_ADJ,0.0070236875
ADV_PCT_FGA_2PT,0.0069823964
REB,0.006960199
PTS_LAG1,0.00693287
ADV_USG_PCT,0.0065375958
FGM_LAG1,0.0064846748
TEAM_TS_PCT,0.006274742
ADV_REB_PCT,0.006265096
WEIGHT,0.006195768
AST_TO_RATIO,0.0061055245
GP_LAG1_RATE,0.0060283514
PACE_ADJUSTMENT,0.0056339195
AST,0.0056022177
FG3A,0.0055273334
FT_PCT_LAG1,0.0055107432
REB_AVG2,0.0054951413
TEAM_PACE,0.005280515
FG3_PCT,0.005130527
TEAM_NET_RATING_ABS,0.0050361473
ADV_PIE_LAG1,0.0050240234
FG_PCT_LAG1,0.0049749613
MIN_LAG2,0.0049448344
STL_AVG2,0.004915808
TEAM_W_PCT,0.0048794863
ADV_EFG_PCT,0.004798368
ADV_TM_TOV_PCT,0.0046137776
PTS_PACE_ADJ,0.004569457
ADV_AST_PCT_LAG1,0.0045098066
ADV_AST_RATIO,0.004463344
BMI,0.004450721
MIN_LAG1,0.0044505247
STL,0.00444611
MIN_EFFICIENCY_INTERACTION,0.0043788585
TEAM_EFG_PCT,0.0043360135
ADV_OREB_PCT,0.0043235
MPG,0.0042364816
FTA,0.004202995
FG_PCT,0.004070449
BLK_LAG2,0.0040449654
ADV_AST_TO,0.0040097297
TOV_LAG1,0.003926044
FG_PCT_LAG2,0.003876604
AGE_MINUTES_RISK,0.0038031065
REB_LAG1,0.003758772
ADV_OFF_RATING,0.0035531411
ADV_PIE_LAG2,0.0035303144
GAMES_MISSED,0.0034571309
TEAM_PIE,0.0034239609
STL_LAG1,0.003400919
POS_Forward,0.0032618844
TEAM_NET_RATING,0.0031618667
SHOOTING_EFFICIENCY,0.0031168452
