feature,importance
FG3M,0.18995637
FG3A,0.09636515
ADV_PCT_PTS_2PT,0.040150374
PTS_PACE_ADJ,0.023340095
THREE_PT_RATE,0.01390802
TEAM_W,0.012010271
ADV_PCT_FGA_2PT,0.011979409
TEAM_L,0.011478068
FT_PCT,0.011215398
FG3A_LAG2,0.01101682
PTS_AVG2,0.01077194
FG3M_LAG1,0.010768999
ADV_REB_PCT,0.010389277
ADV_PCT_PTS_3PT,0.010265277
FG_PCT,0.009832892
PTS_PER_MIN,0.009632329
GP_LAG2,0.009377975
FGA_LAG1,0.008966407
MIN_EFFICIENCY_INTERACTION,0.008951901
ADV_OREB_PCT,0.00853905
AST_LAG2,0.008460148
FTA,0.008237886
FGA_PER_MIN,0.008236879
ADV_PIE,0.007796451
AST_YOY_CHANGE,0.007746433
FTM,0.0075129108
FTA_AVG2,0.0074794865
IN_PRIME,0.0074246605
PTS_LAG1,0.0073884428
ADV_PCT_FGA_3PT,0.007114511
TEAM_TM_TOV_PCT,0.007073896
FG3A_LAG1,0.00703141
REB_AVG2,0.006826526
ADV_OFF_RATING,0.0066581056
ADV_NET_RATING,0.0066449135
FGA,0.0064165783
YEARS_EXPERIENCE,0.006253875
ADV_REB_PCT_LAG1,0.006221602
ADV_TM_TOV_PCT,0.0061232694
FG_PCT_LAG1,0.0060343454
FG3M_LAG2,0.0058034
AGE_USAGE_INTERACTION,0.0056357053
BLK,0.0056194873
ADV_USG_PCT,0.0055698357
TEAM_OFF_RATING,0.005467512
USAGE_MINUTES_PRODUCT,0.005457014
PTS,0.0054286327
TEAM_DEF_RATING,0.0054214266
AGE,0.0053748935
TOTAL_MINUTES,0.0052949344
WEIGHT,0.005277713
FT_PCT_LAG1,0.0052597523
FG3_PCT,0.005134759
TEAM_TS_PCT,0.0051051574
TEAM_NET_RATING,0.0050402484
TOV_LAG2,0.004985663
WORKLOAD_TREND,0.0049375542
ADV_DREB_PCT,0.004827963
TEAM_W_PCT,0.0048150844
GP,0.004803968
EXP_MIN_INTERACTION,0.0047891797
ADV_TS_PCT_LAG2,0.0047653536
FTA_LAG2,0.0047363522
MIN,0.004662822
AGE_MINUTES_RISK,0.00464004
MIN_YOY_CHANGE,0.004610037
AGE_TEAM_QUALITY,0.004604765
DRAFT_ROUND,0.0044892603
AST,0.0044260323
MEDIUM_AVAILABILITY,0.0044148345
TEAM_OREB_PCT,0.0044069677
TEAM_EFG_PCT,0.00437342
PTS_YOY_CHANGE,0.0043624705
ADV_EFG_PCT,0.004254075
ADV_PIE_LAG1,0.0041891555
ADV_AST_TO,0.0041733417
ADV_TS_PCT_YOY_CHANGE,0.0041564484
FTM_LAG1,0.0040968293
GP_STD3,0.0040210765
IS_GUARD,0.003981634
FG_PCT_LAG2,0.003966558
DRAFT_NUMBER,0.0039439374
MIN_CV3,0.003901973
TEAM_PIE,0.0037988608
TEAM_FTA_RATE,0.0037505645
BMI,0.0036246434
FTM_LAG2,0.0036120184
TOV_AVG2,0.0035555323
TEAM_PACE,0.0035389613
GP_LAG1,0.0035072814
BLK_LAG1,0.003481818
TEAM_NET_RATING_ABS,0.0034697615
STL_LAG1,0.0034520195
MIN_LAG1,0.0032252008
FG_PCT_YOY_CHANGE,0.0032063634
ADV_TS_PCT,0.0031817553
REB_YOY_CHANGE,0.0031060218
PACE_USAGE_INTERACTION,0.0030842181
HEIGHT_INCHES,0.0030830826
STL,0.0030467086
PTS_STD3,0.0030242319
FT_PCT_LAG2,0.0029862467
GP_AVG_2YR,0.0029679786
ADV_DEF_RATING,0.0028840469
ADV_AST_PCT_LAG1,0.0028828369
WORKLOAD_LAG2,0.0028561584
BLK_LAG2,0.00284387
ADV_TS_PCT_LAG1,0.002841434
FGA_LAG2,0.0027279991
PTS_CV3,0.0026618277
DEFENSIVE_STATS,0.0026570426
WORKLOAD_LAG1,0.0026168302
ADV_PACE,0.0025833852
ADV_AST_RATIO,0.0025831014
FTA_LAG1,0.0025095453
TOV_LAG1,0.0025052198
REB_LAG1,0.002501669
STL_AVG2,0.002490804
REB_PACE_ADJ,0.0024717648
ADV_AST_PCT,0.0023464565
MIN_STD3,0.0023230356
ADV_AST_PCT_LAG2,0.0022260135
ADV_PIE_LAG2,0.0021918814
AST_PACE_ADJ,0.0020274296
PTS_PER_ATTEMPT,0.001966907
GP_CV3,0.0019168238
AST_TO_RATIO,0.0018284703
REB,0.0016302707
FGM,0.0015238317
ADV_USG_PCT_LAG2,0.0010658778
ADV_REB_PCT_LAG2,0.000978698
PTS_LAG2,0.0009687767
ADV_USG_PCT_LAG1,0.0008591136
FGA_LAG3,0.0
ADV_USG_PCT_LAG3,0.0
ADV_TS_PCT_LAG3,0.0
FTA_LAG3,0.0
FGM_LAG1,0.0
FT_PCT_LAG3,0.0
FG_PCT_LAG3,0.0
RECOVERING_FROM_LOW_PLAY,0.0
AVAILABILITY_SCORE,0.0
FTM_LAG3,0.0
FG3A_LAG3,0.0
GP_LAG3,0.0
MIN_CHANGE,0.0
INCREASING_WORKLOAD,0.0
MEDIUM_WORKLOAD,0.0
LOW_WORKLOAD,0.0
HIGH_WORKLOAD,0.0
RECOVERY_YEAR,0.0
TOV,0.0
ADV_AST_PCT_LAG3,0.0
REDUCED_MINUTES,0.0
INCREASED_MINUTES,0.0
LOAD_MANAGEMENT,0.0
BLK_WAVG,0.0
BLK_AVG2,0.0
BLK_AVG3,0.0
