feature,importance
FGA,0.26031557
PTS,0.12865189
SCORER_ROLE,0.12545992
PTS_PACE_ADJ,0.100181594
FGM,0.0503713
USAGE_MINUTES_PRODUCT,0.03507146
PTS_PER_MIN,0.011618011
FGA_PER_MIN,0.010611172
GAMES_MISSED,0.0070760245
AST_PACE_ADJ,0.006824497
GP,0.0060220975
AGE,0.0051860707
USAGE_RATE,0.0051453793
YEARS_EXPERIENCE,0.0051073763
FG3M_LAG2,0.004982142
ADV_USG_PCT_LAG1,0.0048376084
TEAM_TM_TOV_PCT,0.0048242346
ADV_OREB_PCT,0.0047613857
GP_RATE,0.0044124834
FTM_LAG1,0.004390576
PACE_USAGE_INTERACTION,0.0038922806
FGA_AVG2,0.0038855039
ADV_NET_RATING,0.0038444668
ADV_REB_PCT_LAG1,0.0037294875
MPG,0.0037291257
TEAM_FTA_RATE,0.0036902067
ADV_USG_PCT,0.0036559042
PTS_AVG2,0.0036309916
MIN_EFFICIENCY_INTERACTION,0.0034079524
ADV_AST_PCT,0.003333076
FG3M,0.0032161595
FG_PCT_LAG1,0.003198548
FT_PCT_LAG2,0.0030513108
PTS_PER_ATTEMPT,0.0030236845
EXP_MIN_INTERACTION,0.0029784418
FT_PCT,0.0029667069
REB_YOY_CHANGE,0.0029119006
SHOOTING_EFFICIENCY,0.0028446822
ADV_AST_RATIO,0.0028388798
MEDIUM_AVAILABILITY,0.00280132
AGE_MINUTES_RISK,0.0027040509
PTS_YOY_CHANGE,0.0026044592
FG3A,0.0025312414
TEAM_W,0.0025010647
WEIGHT,0.002403689
TEAM_W_PCT,0.002401193
ADV_PIE,0.0023127506
TEAM_OFF_RATING,0.0022802304
FTA,0.0022667653
STL_LAG1,0.0022449633
ADV_TS_PCT,0.0022265776
FTA_LAG1,0.0021931552
GP_LAG1_RATE,0.0021896719
AST_TO_RATIO,0.0021498417
AGE_USAGE_INTERACTION,0.0021422228
ADV_DEF_RATING,0.0021300032
TEAM_NET_RATING,0.0021112906
FG_PCT,0.0020932183
TEAM_PIE,0.0020623608
TOTAL_MINUTES,0.0020019289
MIN,0.0019909
TOV_LAG1,0.0019583437
FGM_LAG1,0.0019498386
TEAM_OREB_PCT,0.0019325953
ADV_TS_PCT_LAG1,0.0018905282
ADV_PCT_PTS_2PT,0.0018771506
AGE_SQUARED,0.0018695429
PTS_LAG1,0.001843456
PTS_STD3,0.0018193577
ADV_REB_PCT,0.0018124027
BLK_LAG1,0.0018088726
ADV_TM_TOV_PCT,0.0017720013
ADV_PACE,0.0017470649
DRAFT_NUMBER,0.0017422506
AGE_TEAM_QUALITY,0.0017132964
TEAM_NET_RATING_ABS,0.0017124402
GP_LAG1,0.0016676217
ADV_AST_PCT_LAG1,0.0016242309
AST_LAG1,0.0016166944
TOV,0.0016047409
FG3_PCT,0.0016025638
MIN_STD3,0.0015954159
HEIGHT_INCHES,0.0015623162
ADV_REB_PCT_LAG2,0.0015598242
FTA_AVG2,0.0015545362
GP_LAG2,0.0015189264
TEAM_EFG_PCT,0.001511366
REB_LAG1,0.0014961174
ADV_DREB_PCT,0.0014905145
THREE_PT_VOLUME,0.0014822059
BMI,0.0014270333
PTS_CV3,0.0014258618
FG_PCT_LAG2,0.0014133068
FG_PCT_YOY_CHANGE,0.0013830041
BLK,0.0013828897
DEFENSIVE_STATS,0.001342588
TEAM_DEF_RATING,0.0013213094
FTM_LAG2,0.0013094625
THREE_PT_RATE,0.0012932118
DRAFT_ROUND,0.0012450365
PACE_ADJUSTMENT,0.0012253323
MIN_LAG1,0.001183683
MIN_CV3,0.0011617341
HEIGHT_CAT,0.0011502426
GP_CV3,0.0011360929
MIN_LAG2,0.0011340689
ADV_EFG_PCT,0.0011034332
IN_PRIME,0.0010987142
ADV_TS_PCT_LAG2,0.0010977068
TEAM_TS_PCT,0.0010745985
ADV_PIE_LAG1,0.001048868
WORKLOAD_LAG2,0.0010484298
WORKLOAD_TREND,0.0010482507
FT_PCT_LAG1,0.0010312293
AST,0.0010127417
ADV_AST_PCT_LAG2,0.0009977277
FTA_LAG2,0.0009865653
MIN_AVG2,0.0009855059
ADV_OFF_RATING,0.0009677084
MIN_YOY_CHANGE,0.0009347038
ADV_USG_PCT_LAG2,0.00091876136
MIN_CHANGE,0.0008985979
REB_AVG2,0.0008865703
FGM_LAG2,0.0008522145
REB,0.00084854773
FG3M_LAG1,0.00083724887
REB_LAG2,0.00081807876
FTM,0.0008121495
ADV_PCT_PTS_3PT,0.0008009266
GP_STD3,0.00079589797
POS_Center-Forward,0.0007803606
POS_Center,0.00076910685
TEAM_PACE,0.00072519254
ADV_PCT_FGA_2PT,0.0007226113
ADV_AST_TO,0.00071412744
PTS_LAG2,0.00071249617
STL,0.0006175005
WORKLOAD_LAG1,0.00060230534
AST_YOY_CHANGE,0.0005656575
GP_RATE_CURRENT,0.0005120437
STL_AVG2,0.00017204376
REB_PACE_ADJ,0.00015626283
STL_LAG2,0.00015107312
PTS_LAG3,0.0
ADV_PCT_FGA_3PT,0.0
AST_LAG2,0.0
AST_LAG3,0.0
BLK_LAG2,0.0
STL_LAG3,0.0
AVAILABILITY_SCORE,0.0
INCREASED_MINUTES,0.0
LOAD_MANAGEMENT,0.0
TOV_LAG3,0.0
FGA_LAG2,0.0
FGA_LAG1,0.0
FG3M_LAG3,0.0
MIN_LAG3,0.0
FTA_LAG3,0.0
FGA_LAG3,0.0
FG_PCT_LAG3,0.0
FT_PCT_LAG3,0.0
RECOVERY_YEAR,0.0
HIGH_WORKLOAD,0.0
MEDIUM_WORKLOAD,0.0
LOW_WORKLOAD,0.0
ADV_AST_PCT_LAG3,0.0
GP_LAG3,0.0
ADV_USG_PCT_LAG3,0.0
ADV_TS_PCT_LAG3,0.0
FG3A_LAG3,0.0
FG3A_LAG2,0.0
FG3A_LAG1,0.0
FTM_LAG3,0.0
FGM_LAG3,0.0
RECOVERING_FROM_LOW_PLAY,0.0
REDUCED_MINUTES,0.0
INCREASING_WORKLOAD,0.0
TOV_LAG2,0.0
BLK_LAG3,0.0
FGA_WAVG,0.0
FG3M_AVG3,0.0
TOV_WAVG,0.0
FGA_AVG3,0.0
FG3M_WAVG,0.0
ADV_PIE_LAG2,0.0
PTS_WAVG,0.0
PTS_AVG3,0.0
AST_AVG3,0.0
