feature,importance
ADV_PCT_PTS_3PT,0.14793818
FG_PCT,0.059347846
IS_CENTER,0.05257997
ADV_REB_PCT,0.044273302
POS_Center,0.03022108
BLK_LAG1,0.022475377
FG3M,0.02012429
HEIGHT_INCHES,0.016053256
ADV_REB_PCT_LAG1,0.014679606
PTS,0.013494764
FT_PCT_LAG1,0.012958186
ADV_PCT_PTS_2PT,0.011819374
FG3_PCT,0.01173989
ADV_USG_PCT,0.011396866
FG_PCT_LAG1,0.010448253
MIN_YOY_CHANGE,0.0103817275
DRAFT_NUMBER,0.010333838
PTS_PER_ATTEMPT,0.009869848
FG3A,0.009838684
TOV_LAG2,0.009769368
THREE_PT_RATE,0.00971314
ADV_DREB_PCT,0.00958276
FGA_PER_MIN,0.0093215415
REB_YOY_CHANGE,0.008121556
ADV_USG_PCT_LAG2,0.007941251
POS_Center-Forward,0.007814564
BLK,0.0073811705
DRAFT_ROUND,0.00723726
FTA_LAG1,0.0071946704
ADV_OREB_PCT,0.007169243
PTS_YOY_CHANGE,0.007159995
ADV_REB_PCT_LAG2,0.0069969175
ADV_TS_PCT_LAG1,0.006944274
MIN_AVG2,0.006851769
REB_LAG2,0.0067635286
ADV_AST_TO,0.0067410865
ADV_PIE_LAG1,0.006609198
AGE_USAGE_INTERACTION,0.0065141064
ADV_EFG_PCT,0.006510459
ADV_TS_PCT,0.006433265
TEAM_NET_RATING_ABS,0.0064041247
ADV_OFF_RATING,0.006078887
PTS_PER_MIN,0.006062886
PTS_STD3,0.0060250945
BMI,0.0059767547
WORKLOAD_LAG1,0.005928354
TOTAL_MINUTES,0.0057354416
DEFENSIVE_STATS,0.005673327
FT_PCT,0.005635027
BLK_AVG2,0.0056040604
IS_GUARD,0.00554859
AST_PACE_ADJ,0.005514555
WEIGHT,0.0055111647
PTS_LAG1,0.005415894
ADV_PCT_FGA_2PT,0.0054002176
PTS_PACE_ADJ,0.0053323912
FGM_LAG1,0.0053059016
TOV_AVG2,0.005178878
ADV_DEF_RATING,0.0051762927
FTA,0.005070804
AGE,0.005055484
MIN_EFFICIENCY_INTERACTION,0.0050358935
PTS_CV3,0.0049538417
FGA_AVG2,0.00492899
AST,0.004913881
FG3M_LAG2,0.004905612
FG3A_LAG1,0.0049033966
PACE_USAGE_INTERACTION,0.004793169
TEAM_OREB_PCT,0.004751487
ADV_AST_PCT_LAG2,0.004747683
YEARS_EXPERIENCE,0.0044932324
TEAM_PACE,0.004480622
ADV_PIE,0.0044734967
FTA_AVG2,0.0044600233
ADV_TM_TOV_PCT,0.0043959315
PTS_AVG2,0.0042960974
REB_AVG2,0.0042880774
FG_PCT_YOY_CHANGE,0.0042422037
TEAM_W,0.0042020176
ADV_TS_PCT_YOY_CHANGE,0.004188555
FGA,0.004173336
