feature,importance
PTS,0.24299815
FTA,0.09470065
FTM,0.08367416
PACE_USAGE_INTERACTION,0.043977838
PTS_PACE_ADJ,0.038936023
FGM,0.031651795
USAGE_RATE,0.023508048
USAGE_MINUTES_PRODUCT,0.020089248
ADV_PCT_PTS_3PT,0.015373885
ADV_USG_PCT,0.010143356
REB,0.008528468
FT_PCT_LAG2,0.008429801
REB_YOY_CHANGE,0.008414467
PTS_PER_MIN,0.0074223033
ADV_PIE,0.0070306645
FGA_LAG2,0.0068154796
POS_Guard-Forward,0.0065610283
FTA_LAG1,0.0064346846
FG3A_LAG2,0.0062563764
MPG,0.0060978713
ADV_REB_PCT,0.0059757414
ADV_PIE_LAG2,0.0058050095
FG3M_AVG2,0.0056152823
MIN_LAG2,0.005512173
TEAM_W_PCT,0.0054939315
AGE_MINUTES_RISK,0.00545967
REB_PACE_ADJ,0.0053629633
FG3_PCT,0.005209616
ADV_NET_RATING,0.0051026423
WORKLOAD_LAG1,0.005094305
REB_AVG2,0.0049623363
DEFENSIVE_STATS,0.004914194
BMI,0.0048106634
GAMES_MISSED,0.0047233943
TEAM_NET_RATING_ABS,0.0046412977
TEAM_PACE,0.004469203
REB_LAG2,0.0044674906
AGE,0.0044218516
FGA_PER_MIN,0.0043858066
TOTAL_MINUTES,0.0043793824
MIN_CV3,0.0043297196
GP_CV3,0.0042550047
TEAM_PIE,0.0042454554
ADV_AST_RATIO,0.004221912
PTS_LAG1,0.0041356576
FG3A,0.0041234656
AST,0.004096457
GP_RATE_CURRENT,0.0040332843
PTS_STD3,0.0040084994
ADV_DREB_PCT,0.0039788117
PACE_ADJUSTMENT,0.003946577
AGE_USAGE_INTERACTION,0.0039141476
ADV_PCT_PTS_2PT,0.003817267
MIN,0.0038049524
FGM_LAG1,0.003777165
ADV_AST_PCT_LAG1,0.0037500176
PTS_LAG2,0.0036714142
MIN_EFFICIENCY_INTERACTION,0.0035154494
HEIGHT_INCHES,0.0034747047
TOV_LAG2,0.003469777
FTA_AVG2,0.0034666196
TEAM_NET_RATING,0.0034606776
ADV_AST_PCT,0.0034605137
TEAM_DEF_RATING,0.003453646
MIN_AVG2,0.0033353616
AST_AVG2,0.0033233087
DRAFT_NUMBER,0.003295824
FTM_LAG1,0.0032896276
AGE_SQUARED,0.0032681623
PTS_CV3,0.0031332187
ADV_USG_PCT_LAG1,0.003096552
TOV_AVG2,0.0030141957
ADV_TS_PCT,0.0029707276
TEAM_TM_TOV_PCT,0.0029239447
FG3M_LAG2,0.0029092818
DRAFT_ROUND,0.0029035765
HISTORICAL_SEASONS_AVAILABLE,0.0028703117
GP_LAG1_RATE,0.0028558322
POS_Forward-Center,0.0028505698
AGE_INJURY_RISK,0.0028340148
ADV_AST_TO,0.0028235796
EXP_MIN_INTERACTION,0.0028104975
FG_PCT,0.0028077618
ADV_DEF_RATING,0.0027937216
TEAM_OREB_PCT,0.0027819367
BLK,0.0027688453
STL_LAG1,0.0027259688
ADV_OREB_PCT,0.0027109487
BLK_LAG1,0.0027070486
ADV_PACE,0.0027003486
GP,0.0026924035
TOV_LAG1,0.00258083
WEIGHT,0.002483606
ADV_REB_PCT_LAG2,0.002460991
ADV_TS_PCT_LAG1,0.0024436484
ADV_EFG_PCT,0.002383409
ADV_TM_TOV_PCT,0.0023678173
TEAM_FTA_RATE,0.0023340224
TOV,0.0023305316
FT_PCT,0.0022779722
ADV_PCT_FGA_2PT,0.0021434082
TEAM_OFF_RATING,0.0021010505
AGE_TEAM_QUALITY,0.002060294
AST_LAG2,0.0020149895
FG3M_LAG1,0.001990841
TEAM_L,0.001987006
FGA_LAG1,0.0019466161
TEAM_DEF_STRENGTH,0.0018007329
REB_LAG1,0.0017166055
FGA,0.0015916055
ADV_REB_PCT_LAG1,0.0015594194
STL,0.0014175456
ADV_AST_PCT_LAG2,0.0010091495
ADV_PIE_LAG1,0.00096455874
TEAM_EFG_PCT,0.00079414336
AST_PACE_ADJ,0.00072675844
FT_PCT_LAG1,0.00069068733
YEARS_EXPERIENCE,0.00064617937
TEAM_TS_PCT,0.0005895686
GP_LAG1,0.0005807769
AST_TO_RATIO,0.0005452273
ADV_PCT_FGA_3PT,0.0
AVAILABILITY_SCORE,0.0
WORKLOAD_TREND,0.0
MEDIUM_WORKLOAD,0.0
HIGH_WORKLOAD,0.0
RECOVERY_YEAR,0.0
FG3M,0.0
WORKLOAD_LAG2,0.0
AST_WAVG,0.0
AST_AVG3,0.0
PTS_WAVG,0.0
PTS_AVG3,0.0
ADV_PIE_LAG3,0.0
PTS_AVG2,0.0
ADV_AST_PCT_LAG3,0.0
ADV_REB_PCT_LAG3,0.0
ADV_TS_PCT_LAG3,0.0
ADV_TS_PCT_LAG2,0.0
FTM_LAG2,0.0
FG3A_LAG3,0.0
GP_LAG3,0.0
GP_LAG2,0.0
ADV_USG_PCT_LAG2,0.0
ADV_USG_PCT_LAG3,0.0
FT_PCT_LAG3,0.0
FGM_LAG2,0.0
FGM_LAG3,0.0
FG3A_LAG1,0.0
FTM_LAG3,0.0
PTS_LAG3,0.0
MIN_LAG1,0.0
TOV_LAG3,0.0
FG3M_LAG3,0.0
MIN_LAG3,0.0
