feature,importance
FT_PCT,0.054521184
FG3M,0.03448423
FT_PCT_LAG1,0.031977076
POS_Guard-Forward,0.03037865
REB_AVG2,0.027248094
BMI,0.020057762
IS_ROOKIE,0.019721957
EXP_MIN_INTERACTION,0.019264445
FTA_LAG2,0.017563699
TEAM_NET_RATING,0.016840506
PTS_PACE_ADJ,0.016770145
TOV,0.015763944
ADV_PCT_PTS_3PT,0.014648842
PTS_PER_MIN,0.014076283
AGE_USAGE_INTERACTION,0.013105251
PTS_CV3,0.012405523
GP_CV3,0.0122429775
FTM,0.011125949
ADV_DEF_RATING,0.011048721
ADV_USG_PCT,0.010991858
WEIGHT,0.010909275
AST_YOY_CHANGE,0.010798759
DEFENSIVE_STATS,0.010169171
PTS_PER_ATTEMPT,0.009205392
GP,0.009178773
ADV_TS_PCT_YOY_CHANGE,0.009104593
ADV_REB_PCT,0.009088582
ADV_AST_PCT,0.008811483
ADV_PCT_FGA_2PT,0.0087831905
FG_PCT_LAG1,0.008688418
PTS_LAG2,0.008576689
MIN_STD3,0.0084761055
ADV_TS_PCT,0.008100363
MIN_EFFICIENCY_INTERACTION,0.0075520966
ADV_OFF_RATING,0.0074422914
ADV_PIE_LAG2,0.007416184
ADV_OREB_PCT,0.0074149156
THREE_PT_RATE,0.0074053956
USAGE_MINUTES_PRODUCT,0.0073961797
GP_TREND,0.0073424457
YEARS_EXPERIENCE,0.0072820825
PTS_STD3,0.007252093
REB_LAG2,0.0070618917
ADV_AST_PCT_LAG2,0.0069542904
TEAM_DEF_RATING,0.0069287475
FG_PCT_LAG2,0.006800521
ADV_PACE,0.006727881
FTA_AVG2,0.0067004464
WORKLOAD_LAG2,0.006623643
FG3A,0.0065364544
ADV_USG_PCT_LAG2,0.0064756176
FTA,0.0064605335
FGA_AVG2,0.006450499
FTA_LAG1,0.0062999134
BLK,0.006274638
DRAFT_ROUND,0.0061673652
ADV_PCT_PTS_2PT,0.006139816
TOV_LAG1,0.006117228
STL_LAG1,0.006063266
POS_Forward-Center,0.006061953
REB_YOY_CHANGE,0.005980939
FG3_PCT,0.0057819295
FG_PCT,0.005732096
IS_GUARD,0.0056950063
FGA_PER_MIN,0.00564726
TOTAL_MINUTES,0.005598128
FTM_LAG2,0.0055533773
REB_LAG1,0.005473137
ADV_NET_RATING,0.0054729623
AST_PACE_ADJ,0.0054269857
FT_PCT_LAG2,0.005164628
HEIGHT_INCHES,0.004950203
FGA,0.0048974208
ADV_EFG_PCT,0.0047278064
ADV_PIE_LAG1,0.004702781
BLK_LAG2,0.0046879817
TEAM_TS_PCT,0.004603102
PACE_USAGE_INTERACTION,0.0044359276
GP_LAG1,0.0044346787
VETERAN_INJURY_RISK,0.0043867882
STL_AVG2,0.0043520085
TEAM_TM_TOV_PCT,0.0043288385
REB,0.00422163
ADV_AST_TO,0.0042039994
ADV_USG_PCT_LAG1,0.004155687
AST_LAG1,0.004116782
DRAFT_NUMBER,0.004033178
TEAM_NET_RATING_ABS,0.0038318115
POS_Center,0.0038306382
WORKLOAD_TREND,0.0037319495
WORKLOAD_LAG1,0.0037110243
TEAM_W,0.0036446378
ADV_TM_TOV_PCT,0.0036182788
ADV_TS_PCT_LAG2,0.003562464
REB_PACE_ADJ,0.0035184831
ADV_AST_RATIO,0.0034985575
AGE_TEAM_QUALITY,0.003478674
STL,0.0034586554
FG3A_LAG1,0.0033401707
FG3M_LAG2,0.0033371865
POS_Guard,0.003310358
TEAM_EFG_PCT,0.0031902886
POS_Forward,0.0031567337
ADV_DREB_PCT,0.003142138
FG3A_LAG2,0.0030401102
FTM_LAG1,0.002972536
FG3M_LAG1,0.0029465826
PTS_LAG1,0.0029361297
BLK_AVG2,0.0029010028
ADV_PIE,0.0028903515
TEAM_PIE,0.0028748757
FGA_LAG2,0.0028547926
AST_TO_RATIO,0.0028166932
TEAM_FTA_RATE,0.002792241
FGM_LAG1,0.0027195043
FGA_LAG1,0.0026979016
MIN_LAG1,0.0026671975
PTS,0.0026559199
TEAM_OREB_PCT,0.002649726
ADV_TS_PCT_LAG1,0.0026179429
TEAM_L,0.0025963848
IN_PRIME,0.0025595955
POS_Forward-Guard,0.0025291645
ADV_REB_PCT_LAG1,0.002523608
TEAM_W_PCT,0.0025043292
ADV_PCT_FGA_3PT,0.00248206
TEAM_PACE,0.0023767573
AGE,0.0023446043
IS_FORWARD,0.0022490043
AGE_MINUTES_RISK,0.0022262465
TOV_AVG2,0.0021490038
ADV_AST_PCT_LAG1,0.0019801222
GP_AVG_2YR,0.001977298
TEAM_OFF_RATING,0.0019602054
GP_LAG2,0.0019502545
FG3M_AVG2,0.0019403485
PTS_YOY_CHANGE,0.0018084353
MEDIUM_AVAILABILITY,0.0017733105
AST_LAG2,0.001708226
AST,0.0016621115
BLK_LAG1,0.0016542693
MIN,0.0015976685
FGM,0.0014233097
GP_STD3,0.001185237
MIN_YOY_CHANGE,0.0010032053
ADV_REB_PCT_LAG2,0.0009975404
MEDIUM_WORKLOAD,0.00094982475
FG_PCT_YOY_CHANGE,0.0009155358
STL_LAG2,0.0006455923
PTS_AVG2,0.00059039367
MIN_LAG2,0.00040638578
MIN_CV3,0.00035553795
POS_Center-Forward,0.0003372714
LOW_WORKLOAD,0.0
HIGH_WORKLOAD,0.0
RECOVERY_YEAR,0.0
INCREASING_WORKLOAD,0.0
LOAD_MANAGEMENT,0.0
RECOVERING_FROM_LOW_PLAY,0.0
AVAILABILITY_SCORE,0.0
FTM_LAG3,0.0
FT_PCT_LAG3,0.0
FG_PCT_LAG3,0.0
FTA_LAG3,0.0
FGA_LAG3,0.0
ADV_AST_PCT_LAG3,0.0
GP_LAG3,0.0
ADV_USG_PCT_LAG3,0.0
ADV_TS_PCT_LAG3,0.0
FG3A_LAG3,0.0
MIN_CHANGE,0.0
REDUCED_MINUTES,0.0
INCREASED_MINUTES,0.0
FG3M_AVG3,0.0
TOV_WAVG,0.0
TOV_AVG3,0.0
MIN_WAVG,0.0
FTA_AVG3,0.0
FGA_WAVG,0.0
FGA_AVG3,0.0
FG3M_WAVG,0.0
STL_AVG3,0.0
REB_WAVG,0.0
REB_AVG3,0.0
FGM_LAG2,0.0
PTS_AVG3,0.0
PTS_WAVG,0.0
AST_AVG2,0.0
AST_AVG3,0.0
AST_WAVG,0.0
FGM_LAG3,0.0
ADV_REB_PCT_LAG3,0.0
ADV_PIE_LAG3,0.0
FG3M_LAG3,0.0
MIN_LAG3,0.0
TOV_LAG3,0.0
TOV_LAG2,0.0
AGE_BIN,0.0
IS_VETERAN,0.0
STL_LAG3,0.0
BLK_LAG3,0.0
IS_YOUNG,0.0
REB_TREND,0.0
PTS_TREND,0.0
ADV_TS_PCT_TREND,0.0
FG_PCT_TREND,0.0
IS_YOUNG_PLAYER,0.0
HISTORICAL_SEASONS_AVAILABLE,0.0
AGE_SQUARED,0.0
FTA_WAVG,0.0
AST_TREND,0.0
MIN_TREND,0.0
BLK_AVG3,0.0
BLK_WAVG,0.0
MIN_AVG2,0.0
MIN_AVG3,0.0
STL_WAVG,0.0
PTS_LAG3,0.0
REBOUNDER_ROLE,0.0
DEFENDER_ROLE,0.0
PACE_ADJUSTMENT,0.0
USAGE_RATE,0.0
THREE_PT_VOLUME,0.0
SCORER_ROLE,0.0
