feature,importance
MIN,0.13245705
USAGE_MINUTES_PRODUCT,0.102038726
MIN_EFFICIENCY_INTERACTION,0.07263868
PTS_PACE_ADJ,0.06821193
TOTAL_MINUTES,0.03939503
PTS,0.012852604
FGM,0.012811641
MIN_LAG1,0.011626876
VETERAN_INJURY_RISK,0.010843062
GP,0.010805551
TEAM_L,0.009812741
TEAM_W,0.009313372
FGA_LAG1,0.009276517
ADV_REB_PCT,0.009100381
FGM_LAG1,0.00901253
AST_TO_RATIO,0.008979589
TEAM_DEF_RATING,0.008820538
FGA,0.008678786
FG3M,0.008664456
PTS_AVG2,0.0084962025
STL,0.007989065
DRAFT_ROUND,0.00721057
DEFENSIVE_STATS,0.007181384
ADV_PIE_LAG1,0.006952356
FTM_LAG2,0.0069471984
ADV_REB_PCT_LAG1,0.006819477
AGE_MINUTES_RISK,0.0068049575
ADV_NET_RATING,0.006763394
PTS_PER_ATTEMPT,0.0066253776
FTA_LAG1,0.006589274
ADV_DEF_RATING,0.006452901
EXP_MIN_INTERACTION,0.006394946
ADV_AST_PCT_LAG1,0.0063639316
FTA,0.006295167
TEAM_TM_TOV_PCT,0.0062086103
TEAM_FTA_RATE,0.006200608
WORKLOAD_LAG1,0.0058517954
ADV_TS_PCT_LAG2,0.0058473065
ADV_TM_TOV_PCT,0.00567494
AGE_USAGE_INTERACTION,0.0056679468
REB_LAG1,0.005632562
ADV_OFF_RATING,0.005558493
ADV_PCT_FGA_2PT,0.005502321
FT_PCT,0.0055017844
DRAFT_NUMBER,0.005396769
ADV_OREB_PCT,0.005381151
TOV,0.0053218994
AGE,0.00515724
TEAM_NET_RATING,0.00515576
FG3A_LAG1,0.0051184804
ADV_PCT_FGA_3PT,0.0051085167
FT_PCT_LAG1,0.0050729737
AST_PACE_ADJ,0.0050660553
THREE_PT_RATE,0.005006616
TEAM_OFF_RATING,0.004982891
ADV_USG_PCT_LAG1,0.004919774
PTS_PER_MIN,0.004892106
ADV_PACE,0.0048820544
REB_YOY_CHANGE,0.0048045036
ADV_TS_PCT,0.0048008123
FTM_LAG1,0.004792446
PACE_USAGE_INTERACTION,0.0047298875
ADV_DREB_PCT,0.004729821
HEIGHT_INCHES,0.0046665804
ADV_AST_PCT,0.0046631442
AGE_TEAM_QUALITY,0.0045835823
ADV_TS_PCT_YOY_CHANGE,0.0045697754
TEAM_PIE,0.004517037
ADV_TS_PCT_LAG1,0.004515949
ADV_PCT_PTS_3PT,0.004497165
FGA_AVG2,0.004488358
FG_PCT_LAG1,0.004438186
ADV_PIE,0.0044322545
ADV_PCT_PTS_2PT,0.0043877335
PTS_LAG1,0.004360544
FG3_PCT,0.004333252
FG_PCT,0.0043072966
TEAM_PACE,0.004273423
TEAM_OREB_PCT,0.004183343
FGA_PER_MIN,0.004070824
BMI,0.004065364
AST,0.00401343
YEARS_EXPERIENCE,0.003988791
TEAM_NET_RATING_ABS,0.003954999
AST_LAG1,0.003878197
WEIGHT,0.0038524957
BLK,0.0038040516
FG_PCT_LAG2,0.00378202
MIN_STD3,0.0037177443
ADV_AST_TO,0.0035478447
TOV_LAG1,0.003502432
REB_PACE_ADJ,0.0034565057
ADV_USG_PCT,0.0033621085
AST_LAG2,0.0032796124
TEAM_EFG_PCT,0.0032744051
FTA_AVG2,0.003242701
ADV_AST_RATIO,0.0031730311
FG3A_LAG2,0.003043719
ADV_EFG_PCT,0.0030007842
FTM,0.0028509477
AST_YOY_CHANGE,0.0028150158
GP_AVG_2YR,0.0027664055
MIN_LAG2,0.0027271667
IS_GUARD,0.0027097182
BLK_LAG1,0.0026617832
INJURY_PRONE_PATTERN,0.0025547643
FG3A,0.002504212
MIN_YOY_CHANGE,0.0024871673
REB,0.0022773922
REB_LAG2,0.0021824366
TOV_LAG2,0.002098652
TEAM_TS_PCT,0.0020125157
WORKLOAD_TREND,0.0019991281
BLK_LAG2,0.0018353475
FG3M_LAG1,0.0017984848
REB_AVG2,0.001746895
GP_LAG1,0.0013597525
TOV_AVG2,0.0011242875
MEDIUM_AVAILABILITY,0.0007845077
MIN_CV3,0.00076827954
ADV_PIE_LAG2,0.0005140447
LOAD_MANAGEMENT,0.0
RECOVERY_YEAR,0.0
HIGH_WORKLOAD,0.0
MEDIUM_WORKLOAD,0.0
INCREASING_WORKLOAD,0.0
MIN_CHANGE,0.0
LOW_WORKLOAD,0.0
WORKLOAD_LAG2,0.0
ADV_REB_PCT_LAG2,0.0
ADV_AST_PCT_LAG3,0.0
ADV_AST_PCT_LAG2,0.0
ADV_TS_PCT_LAG3,0.0
ADV_USG_PCT_LAG3,0.0
ADV_USG_PCT_LAG2,0.0
GP_LAG3,0.0
GP_LAG2,0.0
FG3A_LAG3,0.0
FTM_LAG3,0.0
FGM_LAG2,0.0
FGM_LAG3,0.0
FT_PCT_LAG3,0.0
FT_PCT_LAG2,0.0
FTA_LAG3,0.0
FG_PCT_LAG3,0.0
INCREASED_MINUTES,0.0
REDUCED_MINUTES,0.0
FTA_LAG2,0.0
FGA_LAG3,0.0
FGA_LAG2,0.0
AVAILABILITY_SCORE,0.0
RECOVERING_FROM_LOW_PLAY,0.0
BLK_WAVG,0.0
BLK_AVG3,0.0
BLK_AVG2,0.0
MIN_AVG3,0.0
AST_WAVG,0.0
PTS_WAVG,0.0
AST_AVG2,0.0
ADV_PIE_LAG3,0.0
ADV_REB_PCT_LAG3,0.0
PTS_YOY_CHANGE,0.0
FTA_WAVG,0.0
FTA_AVG3,0.0
FGA_WAVG,0.0
FG3M_WAVG,0.0
FGA_AVG3,0.0
FG3M_AVG3,0.0
AST_TREND,0.0
FG_PCT_TREND,0.0
ADV_TS_PCT_TREND,0.0
PTS_STD3,0.0
PTS_CV3,0.0
REB_TREND,0.0
MIN_TREND,0.0
FG_PCT_YOY_CHANGE,0.0
PTS_TREND,0.0
IS_YOUNG_PLAYER,0.0
IS_ROOKIE,0.0
GP_CV3,0.0
GP_STD3,0.0
MIN_WAVG,0.0
TOV_AVG3,0.0
TOV_WAVG,0.0
MIN_AVG2,0.0
FG3M_AVG2,0.0
REB_AVG3,0.0
REB_WAVG,0.0
STL_AVG2,0.0
STL_AVG3,0.0
STL_WAVG,0.0
AST_AVG3,0.0
PTS_AVG3,0.0
MIN_LAG3,0.0
TOV_LAG3,0.0
STL_LAG3,0.0
BLK_LAG3,0.0
IS_VETERAN,0.0
AGE_BIN,0.0
STL_LAG1,0.0
STL_LAG2,0.0
IS_YOUNG,0.0
IN_PRIME,0.0
AGE_SQUARED,0.0
HISTORICAL_SEASONS_AVAILABLE,0.0
THREE_PT_VOLUME,0.0
SCORER_ROLE,0.0
FG3M_LAG3,0.0
FG3M_LAG2,0.0
PTS_LAG3,0.0
PTS_LAG2,0.0
PACE_ADJUSTMENT,0.0
DEFENDER_ROLE,0.0
REB_LAG3,0.0
AST_LAG3,0.0
ON_WINNING_TEAM,0.0
ON_PLAYOFF_TEAM,0.0
TEAM_OFF_STRENGTH,0.0
TEAM_DEF_STRENGTH,0.0
REBOUNDER_ROLE,0.0
PLAYMAKER_ROLE,0.0
MPG,0.0
GP_RATE,0.0
USAGE_RATE,0.0
SHOOTING_EFFICIENCY,0.0
POS_Guard,0.0
POS_Forward-Guard,0.0
POS_Forward-Center,0.0
POS_Forward,0.0
POS_Center-Forward,0.0
POS_Center,0.0
HEIGHT_CAT,0.0
POS_Guard-Forward,0.0
GAMES_MISSED,0.0
GP_RATE_CURRENT,0.0
LOW_AVAILABILITY,0.0
HIGH_AVAILABILITY,0.0
GP_LAG1_RATE,0.0
WEIGHT_CAT,0.0
IS_FORWARD,0.0
IS_CENTER,0.0
TEAM_W_PCT,0.0
GP_LAG2_RATE,0.0
MISSED_GAMES_LAG1,0.0
GP_LAG3_RATE,0.0
MISSED_GAMES_LAG3,0.0
GP_TREND,0.0
GP_IMPROVING,0.0
MISSED_GAMES_LAG2,0.0
GP_DECLINING,0.0
GP_AVG_3YR,0.0
HIGHLY_CONSISTENT_AVAILABILITY,0.0
GP_CONSISTENCY,0.0
AGE_INJURY_RISK,0.0
HEAVY_MINUTES_LOAD,0.0
MAJOR_GP_DROP,0.0
AVAILABILITY_TIER,0.0
