feature,importance
PTS_PACE_ADJ,0.34501216
PTS,0.075762495
USAGE_MINUTES_PRODUCT,0.06767412
SCORER_ROLE,0.048194844
FGA,0.03654122
FGM,0.014727422
IS_ROOKIE,0.012882428
GP_CV3,0.010542384
USAGE_RATE,0.007313268
AST_LAG2,0.007266486
PTS_PER_MIN,0.0068748756
MISSED_GAMES_LAG1,0.006489159
PLAYMAKER_ROLE,0.006107492
FG3A_LAG2,0.0053575407
ADV_PIE_LAG2,0.004566595
FTM_LAG2,0.00452068
AST_AVG2,0.004167596
MIN_STD3,0.004060832
PTS_AVG2,0.0040384494
PACE_USAGE_INTERACTION,0.004027205
ADV_USG_PCT_LAG1,0.003853538
ADV_PCT_FGA_3PT,0.0038384567
FGM_LAG1,0.0038369372
THREE_PT_RATE,0.0038311293
FTA,0.0038307095
AGE_USAGE_INTERACTION,0.0038046557
FG3M_LAG2,0.0037526092
ADV_PIE,0.0035426691
AGE_MINUTES_RISK,0.0035017799
EXP_MIN_INTERACTION,0.0034770519
ADV_OREB_PCT,0.003463432
ADV_USG_PCT,0.00343815
PTS_PER_ATTEMPT,0.0034051342
TOTAL_MINUTES,0.0033110268
AGE_SQUARED,0.0033027998
POS_Guard-Forward,0.0032974537
FT_PCT_LAG1,0.0032268786
GP_LAG1,0.003212272
FGA_AVG2,0.0031799215
MPG,0.0031153434
FTA_LAG1,0.0030814009
DRAFT_NUMBER,0.003067637
FTM,0.003018367
GAMES_MISSED,0.0029902225
ADV_NET_RATING,0.0029790022
INJURY_PRONE_PATTERN,0.0029730457
MIN_LAG1,0.0029593657
FG_PCT_LAG2,0.0029394843
MIN_YOY_CHANGE,0.0029369378
ADV_AST_PCT_LAG1,0.0029139582
PACE_ADJUSTMENT,0.0029026025
TEAM_L,0.002881471
FG_PCT_LAG1,0.0028600974
ADV_TS_PCT,0.0028235996
FG3M_AVG2,0.0027582212
GP_RATE,0.0027405606
WORKLOAD_LAG1,0.002739979
YEARS_EXPERIENCE,0.0027220943
ADV_DEF_RATING,0.0027159932
FT_PCT,0.0027004187
DRAFT_ROUND,0.0026776735
POS_Forward-Center,0.0026643123
IS_FORWARD,0.0026252426
ADV_AST_PCT,0.0026231075
PTS_YOY_CHANGE,0.002594834
FG3A_LAG1,0.0025864195
TEAM_W,0.002548201
TOV_LAG1,0.0024975697
ADV_TS_PCT_LAG2,0.0024974186
ADV_TS_PCT_LAG1,0.0024170978
IS_CENTER,0.0023980835
TOV_LAG2,0.0023814738
TEAM_TM_TOV_PCT,0.0023650988
ADV_PCT_FGA_2PT,0.0023380306
TEAM_NET_RATING_ABS,0.0023263462
TEAM_OFF_STRENGTH,0.0023258394
ADV_PCT_PTS_2PT,0.00231772
ADV_PIE_LAG1,0.0023146213
FTM_LAG1,0.0022989074
AST_LAG1,0.0022297264
BMI,0.0022188735
GP_AVG_2YR,0.0022170271
REB_PACE_ADJ,0.0022132099
ADV_TM_TOV_PCT,0.0022124387
GP_STD3,0.002201761
STL_AVG2,0.0021991841
AST_PACE_ADJ,0.0021972484
TEAM_DEF_RATING,0.002191943
MIN_EFFICIENCY_INTERACTION,0.0021751805
FGA_PER_MIN,0.0021721676
GP_RATE_CURRENT,0.0021619995
DEFENSIVE_STATS,0.002131371
ADV_REB_PCT,0.0021250031
ADV_OFF_RATING,0.0021208087
TOV_AVG2,0.0021021347
ADV_REB_PCT_LAG1,0.0020687068
TEAM_FTA_RATE,0.0020601982
ADV_AST_RATIO,0.0020479064
PTS_LAG2,0.0020391175
FGA_LAG1,0.0020306364
FG3_PCT,0.0020131906
LOAD_MANAGEMENT,0.0020052118
REB_LAG1,0.0019734257
POS_Guard,0.00196956
FGA_LAG2,0.0019665267
MIN_AVG2,0.0019403764
TEAM_NET_RATING,0.0019366625
ADV_AST_TO,0.0018953935
GP_TREND,0.0018916769
TEAM_W_PCT,0.0018688426
TEAM_PACE,0.0018642731
PTS_LAG1,0.0018581955
STL_LAG1,0.001831423
FT_PCT_LAG2,0.0018018824
ADV_PACE,0.0017983334
ADV_PCT_PTS_3PT,0.0017932253
ADV_EFG_PCT,0.0017681374
ADV_DREB_PCT,0.0017673256
HEIGHT_INCHES,0.0017567906
TEAM_DEF_STRENGTH,0.001715871
TEAM_OREB_PCT,0.0017047488
TEAM_OFF_RATING,0.0017030383
THREE_PT_VOLUME,0.0016996384
FG3A,0.0016924407
MEDIUM_WORKLOAD,0.0016906259
ADV_TS_PCT_YOY_CHANGE,0.0016856504
AST_TO_RATIO,0.0016709298
AGE_TEAM_QUALITY,0.0016639358
WORKLOAD_LAG2,0.0016278557
FTA_AVG2,0.0016264801
FG3M,0.0016122143
FG3M_LAG1,0.0015972141
DEFENDER_ROLE,0.0015619788
TEAM_TS_PCT,0.001526138
TEAM_EFG_PCT,0.001501109
FG_PCT,0.0014969682
ADV_USG_PCT_LAG2,0.0014821687
GP_LAG1_RATE,0.0014712005
WEIGHT,0.001443383
GP,0.0014323476
PTS_STD3,0.0013829344
TEAM_PIE,0.0013598268
STL_LAG2,0.0013362963
MIN_LAG2,0.0013287313
IN_PRIME,0.0013178324
MIN_CV3,0.0013128238
PTS_CV3,0.0012832119
REB,0.0012691997
BLK,0.0012337278
STL,0.0012282669
POS_Forward,0.0011818191
IS_VETERAN,0.0011545973
BLK_LAG1,0.0011368251
REB_YOY_CHANGE,0.0011338192
HEIGHT_CAT,0.0011051589
FG_PCT_YOY_CHANGE,0.0011027305
AGE,0.0010797494
AST,0.001074646
AST_YOY_CHANGE,0.0010435481
BLK_AVG2,0.00094593415
MIN,0.0009278081
TOV,0.00090793776
GP_IMPROVING,0.00090612855
MEDIUM_AVAILABILITY,0.0008331829
GP_LAG2,0.0007815523
REB_LAG2,0.0007520772
REB_AVG2,0.0007073211
FGM_LAG2,0.00061832723
SHOOTING_EFFICIENCY,0.00056544784
ADV_REB_PCT_LAG2,0.00053893705
VETERAN_INJURY_RISK,0.00049083825
WORKLOAD_TREND,0.00047843735
BLK_LAG2,0.00043377164
GP_CONSISTENCY,0.00043071294
IS_GUARD,0.00042337572
GP_LAG2_RATE,0.00034256428
ADV_AST_PCT_LAG2,0.00033719334
FTA_LAG2,0.00023802205
LOW_WORKLOAD,0.0
RECOVERY_YEAR,0.0
HIGH_WORKLOAD,0.0
REB_AVG3,0.0
INCREASED_MINUTES,0.0
REDUCED_MINUTES,0.0
AST_WAVG,0.0
AVAILABILITY_SCORE,0.0
ADV_REB_PCT_LAG3,0.0
PTS_AVG3,0.0
ADV_PIE_LAG3,0.0
PTS_WAVG,0.0
AST_AVG3,0.0
RECOVERING_FROM_LOW_PLAY,0.0
MIN_CHANGE,0.0
FGA_LAG3,0.0
AGE_BIN,0.0
HISTORICAL_SEASONS_AVAILABLE,0.0
IS_YOUNG,0.0
ADV_AST_PCT_LAG3,0.0
ADV_TS_PCT_LAG3,0.0
ADV_USG_PCT_LAG3,0.0
IS_YOUNG_PLAYER,0.0
MIN_TREND,0.0
REB_TREND,0.0
PTS_TREND,0.0
FG_PCT_TREND,0.0
FTM_LAG3,0.0
ADV_TS_PCT_TREND,0.0
FG3A_LAG3,0.0
GP_LAG3,0.0
FTA_WAVG,0.0
AST_TREND,0.0
STL_AVG3,0.0
REB_WAVG,0.0
BLK_AVG3,0.0
BLK_WAVG,0.0
MIN_AVG3,0.0
STL_WAVG,0.0
MIN_WAVG,0.0
TOV_AVG3,0.0
FG3M_AVG3,0.0
TOV_WAVG,0.0
FG3M_WAVG,0.0
FGA_AVG3,0.0
FGA_WAVG,0.0
FTA_AVG3,0.0
INCREASING_WORKLOAD,0.0
AST_LAG3,0.0
POS_Center-Forward,0.0
POS_Forward-Guard,0.0
POS_Center,0.0
MIN_LAG3,0.0
ON_PLAYOFF_TEAM,0.0
ON_WINNING_TEAM,0.0
FG3M_LAG3,0.0
FTA_LAG3,0.0
FG_PCT_LAG3,0.0
FT_PCT_LAG3,0.0
STL_LAG3,0.0
REBOUNDER_ROLE,0.0
BLK_LAG3,0.0
TOV_LAG3,0.0
FGM_LAG3,0.0
PTS_LAG3,0.0
LOW_AVAILABILITY,0.0
REB_LAG3,0.0
HIGH_AVAILABILITY,0.0
WEIGHT_CAT,0.0
MISSED_GAMES_LAG2,0.0
GP_LAG3_RATE,0.0
GP_DECLINING,0.0
MISSED_GAMES_LAG3,0.0
HIGHLY_CONSISTENT_AVAILABILITY,0.0
GP_AVG_3YR,0.0
AGE_INJURY_RISK,0.0
HEAVY_MINUTES_LOAD,0.0
MAJOR_GP_DROP,0.0
AVAILABILITY_TIER,0.0
