feature,importance
STL,0.081152305
AST_PACE_ADJ,0.05700065
MPG,0.051625732
AST,0.046781242
DEFENSIVE_STATS,0.024414284
MIN,0.02004173
BLK,0.017965449
STL_LAG1,0.01681157
ADV_REB_PCT,0.014725921
SCORER_ROLE,0.013813377
TEAM_NET_RATING,0.011156128
TOTAL_MINUTES,0.01093013
WEIGHT,0.009879044
USAGE_MINUTES_PRODUCT,0.009871684
FGA,0.009695313
BMI,0.009494245
TEAM_EFG_PCT,0.009460264
PTS_PACE_ADJ,0.009254652
TEAM_PIE,0.008904361
ADV_OFF_RATING,0.008830736
PTS,0.008438468
IN_PRIME,0.008437387
ADV_EFG_PCT,0.007877541
IS_GUARD,0.0077973027
AGE_MINUTES_RISK,0.007723677
MIN_EFFICIENCY_INTERACTION,0.007679886
ADV_PIE_LAG2,0.0076237815
TEAM_NET_RATING_ABS,0.0075867795
ADV_DEF_RATING,0.007562175
ADV_NET_RATING,0.0075267595
TEAM_L,0.0073896055
ADV_AST_RATIO,0.0073550353
FTA_LAG1,0.007341011
THREE_PT_RATE,0.0071281334
FG3A,0.0070519694
PTS_PER_MIN,0.007010073
TEAM_DEF_STRENGTH,0.0069940872
ADV_AST_TO,0.006919077
FGA_PER_MIN,0.0068275155
TOV,0.0067285043
ADV_PCT_PTS_3PT,0.0067197094
ADV_AST_PCT,0.006714715
HEIGHT_INCHES,0.006659201
FG_PCT,0.006637139
TEAM_TM_TOV_PCT,0.0064990427
ADV_TM_TOV_PCT,0.006485114
MIN_CHANGE,0.0064457683
GP_LAG2,0.0063939523
ADV_AST_PCT_LAG2,0.0063917823
FGA_LAG2,0.0063506598
PACE_USAGE_INTERACTION,0.00633397
ADV_TS_PCT,0.0062765423
STL_LAG2,0.006265625
YEARS_EXPERIENCE,0.006043113
TEAM_W_PCT,0.0060071875
USAGE_RATE,0.005985427
GP_RATE,0.005945059
EXP_MIN_INTERACTION,0.0059393207
DRAFT_NUMBER,0.005909675
ADV_USG_PCT,0.005833294
TOV_AVG2,0.0057973806
FT_PCT_LAG1,0.005734734
TEAM_OFF_RATING,0.00562805
ADV_OREB_PCT,0.0054922267
TEAM_OFF_STRENGTH,0.005445215
ADV_USG_PCT_LAG1,0.00525406
ADV_PACE,0.0051994324
AGE_TEAM_QUALITY,0.0051673925
REB_PACE_ADJ,0.0051621418
DRAFT_ROUND,0.0051594195
ADV_PIE,0.005153704
FT_PCT_LAG2,0.0050949114
AGE_INJURY_RISK,0.005054802
FG3A_LAG2,0.0049087317
PTS_LAG2,0.0048904684
GP_AVG_2YR,0.0048798183
GP_CONSISTENCY,0.0048540034
BLK_LAG1,0.0048090434
TEAM_OREB_PCT,0.0047793016
WORKLOAD_LAG2,0.004752338
ADV_USG_PCT_LAG2,0.004748334
ADV_REB_PCT_LAG1,0.004722421
AGE_USAGE_INTERACTION,0.004717621
TEAM_TS_PCT,0.0046882113
FG3M_LAG1,0.004653172
POS_Forward,0.0046529626
FG_PCT_LAG1,0.0045790263
WORKLOAD_TREND,0.004542881
FTA_LAG2,0.004472886
ADV_REB_PCT_LAG2,0.0044349264
AGE_SQUARED,0.0044292766
PACE_ADJUSTMENT,0.0043798494
REB_YOY_CHANGE,0.0043733055
STL_AVG2,0.004331046
GP,0.004319627
PTS_AVG2,0.0042827376
FG3M,0.004278113
TEAM_DEF_RATING,0.0042640604
MIN_STD3,0.004209301
GP_STD3,0.004176238
AGE,0.0041756514
REB,0.0041338457
TEAM_FTA_RATE,0.0040838434
REB_LAG1,0.004045808
ADV_PCT_FGA_2PT,0.0040161368
FTA,0.004004384
FTA_AVG2,0.00398966
ADV_PCT_PTS_2PT,0.003966579
FG3A_LAG1,0.0038912771
ADV_DREB_PCT,0.0038664956
ADV_PCT_FGA_3PT,0.0038579165
WORKLOAD_LAG1,0.0038136635
ADV_TS_PCT_YOY_CHANGE,0.0036958149
TEAM_PACE,0.003608213
FTM,0.0035063643
SHOOTING_EFFICIENCY,0.0034777129
FG_PCT_LAG2,0.00323075
ADV_PIE_LAG1,0.0032207689
MIN_CV3,0.0031121809
FTM_LAG2,0.0031116258
TOV_LAG1,0.0030047735
MIN_YOY_CHANGE,0.0024984104
IS_FORWARD,0.0021841773
FT_PCT,0.0021372368
AST_LAG1,0.002008785
MEDIUM_AVAILABILITY,0.0018317956
TEAM_W,0.001204965
PTS_CV3,0.0012042118
LOW_WORKLOAD,0.0
FGA_LAG1,0.0
FG3M_LAG3,0.0
FG3M_LAG2,0.0
MIN_LAG3,0.0
MIN_LAG1,0.0
MIN_LAG2,0.0
TOV_LAG3,0.0
TOV_LAG2,0.0
ADV_AST_PCT_LAG1,0.0
BLK_LAG3,0.0
BLK_LAG2,0.0
STL_LAG3,0.0
ADV_AST_PCT_LAG3,0.0
ADV_TS_PCT_LAG1,0.0
ADV_TS_PCT_LAG2,0.0
ADV_TS_PCT_LAG3,0.0
FGM_LAG1,0.0
FGM_LAG2,0.0
FGM_LAG3,0.0
ADV_USG_PCT_LAG3,0.0
GP_LAG3,0.0
GP_LAG1,0.0
FG3A_LAG3,0.0
FTM_LAG3,0.0
FTM_LAG1,0.0
RECOVERING_FROM_LOW_PLAY,0.0
LOAD_MANAGEMENT,0.0
INCREASED_MINUTES,0.0
FTA_LAG3,0.0
FGA_LAG3,0.0
FG_PCT_LAG3,0.0
FT_PCT_LAG3,0.0
REDUCED_MINUTES,0.0
INCREASING_WORKLOAD,0.0
FGM,0.0
FG3_PCT,0.0
RECOVERY_YEAR,0.0
HIGH_WORKLOAD,0.0
MEDIUM_WORKLOAD,0.0
AVAILABILITY_SCORE,0.0
BLK_WAVG,0.0
FGA_AVG3,0.0
FGA_AVG2,0.0
FG3M_WAVG,0.0
FG3M_AVG2,0.0
FG3M_AVG3,0.0
TOV_WAVG,0.0
TOV_AVG3,0.0
FGA_WAVG,0.0
STL_AVG3,0.0
BLK_AVG3,0.0
BLK_AVG2,0.0
MIN_AVG2,0.0
STL_WAVG,0.0
PTS_AVG3,0.0
