feature,importance
TOV,0.18990427
USAGE_MINUTES_PRODUCT,0.13128196
FGA,0.024515044
PTS_PACE_ADJ,0.023252834
AST_PACE_ADJ,0.022745715
AST,0.020118712
PACE_USAGE_INTERACTION,0.016605185
ADV_PIE,0.014013923
FTA_AVG2,0.01392052
MIN,0.013869032
TOV_AVG2,0.0128484275
GP_STD3,0.012592641
GP_CONSISTENCY,0.011834263
PTS_YOY_CHANGE,0.0117108375
REB_YOY_CHANGE,0.0102128135
FTA,0.009657676
REB,0.0092972275
ADV_TM_TOV_PCT,0.009227146
TEAM_W_PCT,0.0087766135
ADV_AST_PCT,0.007997905
ADV_TS_PCT,0.007925628
FG_PCT,0.0078108655
PTS_PER_MIN,0.00734567
DRAFT_ROUND,0.0073363823
FG_PCT_YOY_CHANGE,0.0072551025
ADV_REB_PCT_LAG1,0.0070413616
FT_PCT_LAG2,0.006926445
PTS_STD3,0.0068554464
REB_PACE_ADJ,0.006659235
TEAM_L,0.0066111614
GP_CV3,0.0065371306
AGE,0.0064306287
ADV_AST_RATIO,0.006283912
ADV_EFG_PCT,0.006256314
VETERAN_INJURY_RISK,0.0062240935
TOV_LAG1,0.005835484
TOTAL_MINUTES,0.0055944473
ADV_USG_PCT,0.0054856604
TEAM_OFF_STRENGTH,0.00544234
STL,0.005408919
ADV_PCT_PTS_3PT,0.005351261
TEAM_PACE,0.005282776
PTS_PER_ATTEMPT,0.005226724
REB_LAG1,0.0051649497
ADV_USG_PCT_LAG1,0.00515476
TEAM_TM_TOV_PCT,0.005083453
FGA_PER_MIN,0.004969952
ADV_OFF_RATING,0.0049342304
GP_AVG_2YR,0.004926366
GP,0.0049094846
TEAM_TS_PCT,0.0049071247
TEAM_W,0.00473519
AGE_MINUTES_RISK,0.0047129802
FGM,0.0046502133
MEDIUM_AVAILABILITY,0.0045002764
FG_PCT_LAG1,0.0044464213
AST_TO_RATIO,0.004341311
MIN_STD3,0.0043164506
DEFENSIVE_STATS,0.0043041194
IS_ROOKIE,0.004133359
AST_LAG1,0.004115938
ADV_DREB_PCT,0.0040635946
ADV_TS_PCT_LAG1,0.0040282863
FG3M_LAG1,0.0040060054
PTS,0.0040007574
ADV_OREB_PCT,0.0039894707
TEAM_EFG_PCT,0.0039247875
ADV_REB_PCT,0.0038930874
FG3M_LAG2,0.0038912983
FT_PCT,0.0038820829
ADV_NET_RATING,0.0038523113
FGA_LAG1,0.0037948214
MIN_LAG1,0.0037386685
FTA_LAG1,0.0036708862
ADV_REB_PCT_LAG2,0.0036475349
WEIGHT,0.003594025
